frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
14,0.5599999999999999,0.922612,0.442678,0.918332,0.890633,0.429948,0.95272,0.883546,0.42985,0.885477,0.893992,0.530883,0.923644,0.89399,0.638211,0.612743,0.862217,0.657044,0.879632,0.887101,0.650688,0.626455,0.901263,0.631683,0.880354,0.897614,0.430121,0.924452,0.862322,0.530617,0.993241,0.837568,0.663503,0.714293,0.894325,0.240673,0.872271,0.833932,0.644615,0.655536
15,0.6,0.919102,0.448928,0.904576,0.890397,0.436317,0.885886,0.876387,0.430289,0.832597,0.894054,0.531278,0.895373,0.88707,0.644401,0.727604,0.840968,0.669742,0.844751,0.879882,0.663296,0.758847,0.908251,0.631699,0.878399,0.894068,0.436515,0.926247,0.862156,0.531233,0.962208,0.823265,0.669548,0.6389,0.890656,0.240586,0.898282,0.816216,0.64451,0.567471
16,0.64,0.918824,0.461366,0.891917,0.883555,0.436414,0.860809,0.869359,0.436236,0.865542,0.890636,0.537395,0.876066,0.883473,0.650719,0.694926,0.833744,0.675711,0.89589,0.869411,0.6697,0.789458,0.901267,0.631765,0.887507,0.890699,0.442536,0.935101,0.858672,0.537414,0.892383,0.805531,0.657134,0.767748,0.887095,0.247099,0.829653,0.801969,0.632156,0.745816
17,0.68,0.915363,0.461378,0.90579,0.876435,0.436409,0.847297,0.865859,0.436247,0.899145,0.890419,0.537355,0.875081,0.880005,0.644618,0.65258,0.816149,0.669803,0.870735,0.869341,0.669534,0.748945,0.901311,0.63178,0.891424,0.890484,0.442559,0.89753,0.85505,0.537379,0.868614,0.794879,0.650777,0.765744,0.879894,0.253325,0.797346,0.787759,0.632059,0.771279
18,0.7200000000000001,0.904794,0.467667,0.903604,0.869353,0.449021,0.856113,0.86567,0.448945,0.896903,0.88699,0.537428,0.87034,0.879962,0.644413,0.650649,0.812561,0.66979,0.88293,0.869268,0.663332,0.732082,0.901172,0.63185,0.902479,0.883507,0.45526,0.844987,0.840961,0.549809,0.875993,0.787823,0.657122,0.756263,0.86929,0.265886,0.848705,0.784183,0.632222,0.76493
19,0.7600000000000001,0.894147,0.467779,0.948629,0.865695,0.455266,0.880794,0.862154,0.45515,0.856537,0.879958,0.537303,0.867752,0.883488,0.644537,0.676659,0.809087,0.675644,0.911437,0.86939,0.663386,0.758051,0.897804,0.63171,0.895404,0.869389,0.461583,0.854762,0.833922,0.54359,0.927412,0.784165,0.663487,0.771534,0.865765,0.26579,0.906775,0.780595,0.638296,0.73013
20,0.8000000000000002,0.890397,0.467777,0.896871,0.861999,0.461383,0.862392,0.847988,0.455171,0.798477,0.869452,0.543541,0.837656,0.876438,0.650852,0.707541,0.809059,0.675692,0.873698,0.865912,0.669688,0.826458,0.894337,0.631703,0.913793,0.865627,0.461484,0.917197,0.830215,0.537456,0.867645,0.780822,0.669683,0.762441,0.86227,0.265717,0.891827,0.77725,0.644475,0.689727
21,0.8400000000000002,0.883442,0.473836,0.90727,0.844504,0.436336,0.842268,0.83744,0.436184,0.898869,0.865667,0.537327,0.890682,0.876405,0.650899,0.661833,0.808901,0.675826,0.900888,0.865825,0.669712,0.756555,0.894095,0.631684,0.942809,0.858702,0.442582,0.860513,0.819618,0.537269,0.872864,0.780707,0.675693,0.783962,0.851612,0.253379,0.811024,0.777212,0.650815,0.647857
22,0.8800000000000002,0.865858,0.467658,0.92545,0.83758,0.442683,0.859489,0.837235,0.442579,0.878781,0.847989,0.53735,0.8537,0.869332,0.644603,0.688012,0.808927,0.675771,0.881554,0.862337,0.669483,0.796753,0.890473,0.62525,0.920307,0.851525,0.448941,0.815919,0.809219,0.537295,0.906153,0.780765,0.675792,0.730818,0.84093,0.253169,0.820233,0.78058,0.656987,0.599766
23,0.9200000000000003,0.862071,0.467641,0.903253,0.83379,0.442698,0.885002,0.823216,0.442478,0.810566,0.833971,0.543428,0.869323,0.865895,0.650711,0.731004,0.808988,0.669654,0.821644,0.865695,0.663474,0.839835,0.876452,0.606545,0.841199,0.837469,0.44901,0.887521,0.80897,0.537191,0.927637,0.780805,0.675658,0.731598,0.837477,0.247009,0.872635,0.780558,0.650771,0.650206
24,0.9600000000000003,0.84798,0.461475,0.847149,0.826713,0.430155,0.858901,0.812545,0.42998,0.89821,0.816107,0.531205,0.879214,0.862048,0.63207,0.662111,0.809025,0.669562,0.803952,0.8551,0.644517,0.687943,0.862219,0.600259,0.880919,0.833854,0.436209,0.911594,0.808913,0.537162,0.921562,0.784188,0.675768,0.758581,0.833866,0.240767,0.866626,0.780602,0.657041,0.684569
25,1.0000000000000002,0.83742,0.448809,0.916408,0.819673,0.42993,0.877034,0.809153,0.429703,0.934255,0.808923,0.531221,0.920116,0.840901,0.638034,0.548128,0.809112,0.669509,0.798177,0.833966,0.644586,0.623803,0.844463,0.606569,0.830798,0.833653,0.430207,0.901736,0.805502,0.537183,0.930197,0.784263,0.675821,0.756308,0.830279,0.234418,0.861818,0.780592,0.657136,0.723841
26,1.0400000000000003,0.830296,0.442696,0.884349,0.809233,0.430052,0.913967,0.80551,0.429816,0.94916,0.787743,0.531068,0.89896,0.805531,0.631644,0.353035,0.809222,0.650765,0.784825,0.801972,0.632133,0.40824,0.830243,0.606486,0.838243,0.826755,0.436188,0.869372,0.805414,0.537195,0.90152,0.791257,0.675705,0.826443,0.81615,0.234353,0.8495,0.780684,0.663357,0.858666
27,1.0800000000000003,0.809035,0.442514,0.916236,0.80899,0.429876,0.948753,0.801944,0.423922,0.926109,0.777248,0.530924,0.983576,0.78421,0.631706,0.36114,0.809155,0.650733,0.817705,0.780831,0.638259,0.388088,0.809103,0.600234,0.82501,0.819631,0.4301,0.876266,0.802008,0.531226,0.908265,0.787791,0.675678,0.849415,0.81253,0.234247,0.903961,0.780608,0.663404,0.881468
28,1.1200000000000003,0.805291,0.442541,0.890689,0.805476,0.429966,0.93075,0.794909,0.429787,0.873402,0.777093,0.530636,0.93975,0.769956,0.632024,0.607751,0.8056,0.669713,0.86621,0.766422,0.638236,0.667291,0.784343,0.625773,0.848514,0.809166,0.430142,0.930055,0.801835,0.537197,0.858537,0.780704,0.675678,0.749693,0.808899,0.228421,0.916856,0.773628,0.66326,0.729943
29,1.1600000000000004,0.787691,0.442599,0.880158,0.798424,0.429699,0.863344,0.784241,0.423702,0.873458,0.755931,0.524397,0.900213,0.745219,0.631689,0.764105,0.808921,0.669617,0.818254,0.745215,0.632188,0.780955,0.762922,0.625479,0.854553,0.8056,0.429888,0.943526,0.805268,0.537186,0.891545,0.787725,0.675839,0.745842,0.805292,0.22826,0.892086,0.780554,0.669506,0.721875
