frame,elapsed_time(s),neck_x,neck_y,neck_c,spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
13,0.5199999999999999,0.899375,0.300622,0.883831,0.893327,0.426022,0.785414,0.884119,0.425985,0.784036,0.888823,0.534917,0.854177,0.90094,0.638443,0.870139,0.905584,0.644108,0.785293,0.879549,0.646708,0.529529,0.884132,0.6413,0.462497,0.904031,0.426096,0.761559,0.864227,0.529531,0.895068,0.864309,0.641275,0.85782,0.871909,0.649462,0.800925,0.839782,0.65485,0.753862,0.848924,0.662903,0.858184
14,0.5599999999999999,0.890295,0.303369,0.847815,0.888765,0.428733,0.793556,0.878014,0.426108,0.779903,0.888783,0.537646,0.84668,0.900914,0.638515,0.857121,0.905572,0.646666,0.782124,0.874912,0.646757,0.844532,0.876493,0.64388,0.785488,0.900936,0.428798,0.767551,0.86265,0.53218,0.901414,0.850466,0.644,0.885526,0.853553,0.660238,0.787794,0.825985,0.646756,0.766446,0.83209,0.66024,0.800114
15,0.6,0.887218,0.306137,0.89611,0.887128,0.439539,0.78303,0.874966,0.436874,0.780073,0.88868,0.537659,0.84829,0.900921,0.638463,0.862298,0.907085,0.644102,0.781824,0.874886,0.646717,0.80662,0.876495,0.643887,0.783663,0.897876,0.439596,0.741788,0.858087,0.532288,0.859161,0.838131,0.644059,0.860171,0.839747,0.662971,0.819725,0.812165,0.644067,0.805254,0.816745,0.657568,0.805814
16,0.64,0.879575,0.308844,0.840126,0.879568,0.436846,0.757471,0.871892,0.43685,0.744544,0.887202,0.537672,0.832143,0.900947,0.638526,0.87017,0.908608,0.646658,0.757104,0.873439,0.646718,0.821209,0.876483,0.643928,0.824526,0.890248,0.436888,0.750584,0.851998,0.535058,0.884616,0.82586,0.643915,0.866832,0.825958,0.662947,0.806112,0.799887,0.641171,0.830353,0.802971,0.64669,0.849496
17,0.68,0.874984,0.314202,0.940885,0.876429,0.442316,0.821697,0.864281,0.442284,0.800135,0.885615,0.535037,0.808436,0.900919,0.635786,0.838951,0.907115,0.644005,0.769308,0.874906,0.646695,0.812319,0.876509,0.643917,0.799097,0.887193,0.442342,0.789971,0.848911,0.537721,0.833995,0.813702,0.643956,0.884717,0.815184,0.663007,0.809668,0.787672,0.63851,0.794495,0.790743,0.644017,0.831838
18,0.7200000000000001,0.867302,0.314292,0.887637,0.870323,0.44506,0.794622,0.861159,0.445046,0.793361,0.879544,0.540439,0.775036,0.899499,0.635826,0.842094,0.905593,0.644006,0.778825,0.873443,0.646736,0.785185,0.876484,0.643965,0.774555,0.878026,0.445115,0.792819,0.8397,0.540415,0.884503,0.806044,0.644044,0.825689,0.807571,0.663097,0.794006,0.779977,0.638488,0.805812,0.784619,0.64403,0.806836
19,0.7600000000000001,0.862698,0.317002,0.925927,0.862665,0.447864,0.814762,0.851943,0.447857,0.804264,0.876559,0.551273,0.791044,0.899436,0.630353,0.826042,0.904086,0.641252,0.796944,0.873437,0.649358,0.775762,0.876466,0.644011,0.765914,0.873366,0.447881,0.761826,0.829042,0.540483,0.838735,0.803003,0.649409,0.847539,0.806015,0.66574,0.821562,0.776915,0.64403,0.836256,0.781511,0.657614,0.798243
20,0.8000000000000002,0.853544,0.316961,0.893138,0.852057,0.447702,0.806893,0.844297,0.445119,0.775583,0.871899,0.540477,0.787846,0.897895,0.622301,0.838939,0.902537,0.635766,0.787653,0.874874,0.652106,0.78084,0.876459,0.644095,0.75133,0.862758,0.447792,0.790953,0.824398,0.537702,0.859468,0.80292,0.646713,0.867798,0.804559,0.665667,0.837152,0.773872,0.652109,0.78991,0.778514,0.662947,0.865683
21,0.8400000000000002,0.850364,0.314308,0.906794,0.845839,0.450467,0.769626,0.838153,0.447863,0.790021,0.862612,0.54311,0.831386,0.890261,0.622087,0.853628,0.8995,0.624979,0.736747,0.870372,0.649406,0.790583,0.874895,0.64403,0.775563,0.852043,0.453183,0.759438,0.813748,0.537721,0.901571,0.801463,0.64945,0.853578,0.804536,0.665752,0.831295,0.772356,0.660244,0.802284,0.778463,0.665662,0.884171
22,0.8800000000000002,0.83978,0.311583,0.898963,0.838232,0.447697,0.83692,0.828977,0.445045,0.802384,0.848866,0.548552,0.824247,0.884124,0.616589,0.828782,0.890253,0.614024,0.844359,0.8719,0.654859,0.877466,0.874881,0.64674,0.794681,0.848857,0.447813,0.765547,0.810652,0.537774,0.835312,0.801471,0.652128,0.858032,0.804531,0.665746,0.83269,0.773847,0.662861,0.80212,0.778521,0.665767,0.855735
23,0.9200000000000003,0.838111,0.308861,0.863898,0.830571,0.442307,0.762676,0.825898,0.439592,0.757252,0.832043,0.548627,0.825521,0.873355,0.600494,0.879404,0.878061,0.600377,0.866433,0.86578,0.652169,0.810226,0.865802,0.646641,0.769872,0.839688,0.444996,0.793528,0.806048,0.537729,0.840567,0.801462,0.652157,0.85723,0.804519,0.665781,0.846551,0.773833,0.662888,0.798293,0.778498,0.665802,0.849784
24,0.9600000000000003,0.827488,0.300637,0.877482,0.825898,0.434116,0.750777,0.81524,0.42872,0.767069,0.816733,0.545851,0.817225,0.859601,0.597744,0.871376,0.8658,0.597573,0.82408,0.853486,0.649368,0.760352,0.855035,0.643971,0.691751,0.832095,0.439613,0.697842,0.803039,0.537649,0.88933,0.801444,0.652096,0.8543,0.804508,0.665714,0.864479,0.773888,0.66288,0.809048,0.778531,0.665763,0.85285
25,1.0000000000000002,0.824421,0.297874,0.860732,0.819806,0.431486,0.731617,0.812158,0.428733,0.771626,0.802967,0.540456,0.807262,0.842815,0.600336,0.848619,0.852005,0.6003,0.883483,0.833591,0.643987,0.76851,0.832079,0.641116,0.71512,0.82754,0.439551,0.734125,0.80294,0.537699,0.868669,0.801415,0.649401,0.822493,0.804537,0.663054,0.779653,0.772311,0.662927,0.767941,0.778459,0.665817,0.812559
26,1.0400000000000003,0.815271,0.295187,0.892273,0.815193,0.431388,0.794565,0.80451,0.426102,0.786252,0.790678,0.535071,0.853563,0.826003,0.600421,0.894063,0.836681,0.600445,0.822017,0.815209,0.643922,0.608544,0.8152,0.638421,0.526133,0.825859,0.434186,0.748096,0.798354,0.537642,0.783451,0.801404,0.646701,0.819702,0.804514,0.662991,0.826748,0.773856,0.662877,0.763826,0.778498,0.665736,0.825805
27,1.0800000000000003,0.812143,0.29259,0.864689,0.809088,0.431484,0.767025,0.799899,0.428738,0.800681,0.776965,0.532265,0.906382,0.810649,0.603176,0.770759,0.818281,0.608504,0.664284,0.789149,0.635719,0.389303,0.789144,0.622236,0.360278,0.81826,0.436905,0.733479,0.799912,0.543104,0.787765,0.801439,0.646721,0.846128,0.806062,0.66292,0.798381,0.775373,0.660327,0.79844,0.779985,0.665808,0.816171
28,1.1200000000000003,0.802945,0.292485,0.923097,0.801484,0.426017,0.827961,0.790707,0.423325,0.84131,0.766159,0.526804,0.889245,0.787658,0.622139,0.829315,0.790752,0.630338,0.466115,0.766261,0.643944,0.860074,0.766235,0.638494,0.766817,0.813676,0.428762,0.766839,0.799878,0.543134,0.813358,0.801477,0.646753,0.847696,0.806074,0.663027,0.832192,0.775432,0.662957,0.818434,0.780051,0.66581,0.750257
29,1.1600000000000004,0.796874,0.292434,0.861675,0.796863,0.426,0.794163,0.787613,0.42331,0.78357,0.755481,0.524086,0.847665,0.764624,0.624871,0.846128,0.767734,0.641154,0.786514,0.741786,0.644041,0.825079,0.741774,0.641151,0.807475,0.806032,0.428735,0.754778,0.795322,0.537695,0.820913,0.801487,0.649361,0.852525,0.80757,0.663118,0.833731,0.775355,0.662963,0.805193,0.781559,0.6658,0.754369
30,1.2000000000000004,0.789213,0.292515,0.898509,0.789186,0.425999,0.820984,0.776998,0.423319,0.805817,0.750917,0.524072,0.839883,0.740208,0.638404,0.853626,0.743246,0.6467,0.849652,0.715686,0.641095,0.756446,0.717255,0.635708,0.698107,0.79994,0.428698,0.754867,0.792292,0.537784,0.816143,0.801482,0.649441,0.853201,0.807567,0.665681,0.836124,0.773878,0.66293,0.835994,0.780017,0.66579,0.814388
31,1.2400000000000004,0.780047,0.295099,0.862802,0.780043,0.434115,0.758387,0.769312,0.428725,0.73123,0.741746,0.532127,0.867839,0.717286,0.630367,0.818801,0.721784,0.646626,0.784352,0.694223,0.624834,0.726742,0.697287,0.622101,0.702333,0.792225,0.43691,0.744379,0.790793,0.548558,0.844239,0.801467,0.649428,0.864169,0.806076,0.665656,0.847461,0.775411,0.662878,0.829962,0.781563,0.665794,0.816225
32,1.2800000000000005,0.775397,0.295281,0.855108,0.776871,0.439575,0.773016,0.764686,0.434178,0.727383,0.738607,0.5322,0.824534,0.704911,0.627648,0.810125,0.704957,0.646696,0.741267,0.677365,0.619325,0.726465,0.678985,0.61662,0.712986,0.787635,0.442265,0.739611,0.790655,0.551207,0.865754,0.801459,0.646775,0.866127,0.806071,0.663092,0.844071,0.775392,0.660356,0.803219,0.781554,0.6658,0.813607
33,1.3200000000000005,0.766206,0.300616,0.847394,0.766258,0.436883,0.759613,0.757032,0.43148,0.685105,0.729456,0.529425,0.75209,0.692711,0.624896,0.783336,0.692702,0.644005,0.711788,0.666652,0.616712,0.74019,0.668236,0.613964,0.704615,0.776939,0.439645,0.753625,0.787626,0.551365,0.835356,0.801443,0.649373,0.855446,0.807543,0.663071,0.817705,0.775355,0.662956,0.834358,0.781504,0.665867,0.819613
