frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
63,2.52,405.882,162.058,0.772525,407.352,238.387,0.735489,414.611,238.369,0.680219,427.782,297.131,0.837522,445.485,350.05,0.763949,452.816,358.814,0.784465,417.64,358.783,0.813902,422.011,357.317,0.715113,405.771,238.409,0.754487,379.426,295.68,0.828147,355.903,350.049,0.816904,357.356,360.339,0.810857,325.082,339.771,0.784728,330.921,347.03,0.811673,0,0
64,2.56,398.518,164.987,0.695259,402.842,238.415,0.747541,405.841,238.402,0.708633,421.992,298.606,0.820403,444.051,351.499,0.766461,452.81,358.788,0.781933,417.633,358.803,0.859994,422.011,357.339,0.754239,394.142,238.431,0.770376,369.144,297.128,0.857426,347.112,351.508,0.840061,348.571,360.351,0.795472,322.054,344.122,0.802876,323.542,347.138,0.868981,0,0
65,2.6,392.58,164.974,0.749329,392.615,238.409,0.776479,395.559,238.398,0.707931,414.593,295.701,0.795984,442.566,348.537,0.792869,452.77,355.911,0.770989,417.628,358.876,0.812049,421.987,357.407,0.722855,386.766,238.416,0.724875,358.85,297.101,0.86046,345.652,352.969,0.838721,348.546,360.366,0.80935,316.241,348.581,0.824289,322.127,355.918,0.896343,0,0
66,2.64,382.338,166.462,0.770652,382.303,239.826,0.772261,386.72,239.81,0.673646,404.41,297.157,0.858554,441.047,347.052,0.840792,451.302,351.528,0.727015,417.569,358.879,0.829201,419.101,357.399,0.741217,379.359,239.853,0.743011,351.522,298.55,0.824966,344.153,355.875,0.839088,347.106,361.798,0.815901,313.339,357.314,0.855347,320.684,358.905,0.857782,0,0
67,2.68,372.077,166.437,0.713387,370.618,238.381,0.744631,376.437,236.965,0.64514,392.651,298.597,0.884614,435.202,341.239,0.764918,441.155,345.588,0.781487,417.542,358.852,0.843236,419.074,357.383,0.742205,369.076,238.395,0.735262,345.603,297.145,0.86582,342.671,355.919,0.79465,347.098,361.803,0.808018,311.879,358.858,0.84855,320.599,364.694,0.785389,0,0
68,2.72,367.653,162.083,0.652764,363.228,232.539,0.703006,369.171,231.115,0.69521,377.952,298.587,0.863066,427.843,335.38,0.867862,438.116,336.784,0.764396,416.09,358.898,0.880185,417.593,357.412,0.809763,357.376,232.561,0.744513,336.842,297.174,0.849277,341.24,355.93,0.80766,347.115,361.808,0.816933,311.844,360.285,0.841676,319.182,366.177,0.793088,0,0
69,2.76,358.839,160.635,0.721459,357.336,231.078,0.785796,361.766,229.635,0.711679,361.792,298.611,0.867131,416.032,332.427,0.861899,424.905,330.944,0.769561,407.284,358.814,0.782804,408.81,357.336,0.69788,348.554,232.543,0.74073,335.327,297.145,0.876925,341.232,357.31,0.817502,347.129,361.798,0.82777,311.839,360.279,0.855954,319.172,366.164,0.789353,0,0
70,2.8,348.57,160.583,0.714803,347.109,231.078,0.711748,348.58,229.617,0.610374,347.142,297.118,0.813069,399.957,328.011,0.773598,408.767,325.11,0.747675,394.095,355.888,0.780948,394.113,351.518,0.71178,345.666,233.989,0.76209,333.907,294.224,0.813432,341.189,357.293,0.78983,347.072,361.76,0.829976,311.81,360.288,0.832982,319.158,366.177,0.750676,0,0
71,2.84,345.6,159.171,0.747592,345.572,229.626,0.72025,347.044,229.565,0.649913,336.805,292.742,0.756616,382.374,329.446,0.815611,392.616,329.463,0.769806,374.986,350.043,0.635285,377.915,347.128,0.598735,342.689,231.061,0.714294,332.375,295.683,0.784144,341.216,357.29,0.78813,347.117,360.336,0.830333,311.826,360.305,0.833162,319.187,366.188,0.757655,0,0
72,2.88,336.813,159.069,0.80644,336.786,228.148,0.74907,339.773,228.118,0.635225,326.539,288.409,0.800075,369.1,333.824,0.883307,375.02,333.898,0.780905,355.919,348.572,0.620852,357.371,345.654,0.55499,335.292,228.181,0.79347,325.054,292.749,0.78012,341.208,355.913,0.777254,347.065,360.334,0.831238,311.809,360.296,0.851209,319.197,366.188,0.802554,0,0
73,2.92,333.787,157.659,0.84648,333.803,229.598,0.751385,335.399,229.579,0.654194,311.859,288.289,0.890138,348.603,335.304,0.831961,358.827,336.823,0.749239,325.093,345.587,0.229987,326.552,344.123,0.189773,326.529,229.628,0.746448,323.571,294.224,0.779459,341.203,355.903,0.790907,347.099,358.907,0.891431,311.823,358.908,0.901475,320.605,366.188,0.828045,0,0
74,2.96,323.641,157.678,0.866128,325.08,229.634,0.712174,333.805,229.577,0.6797,303.032,286.839,0.852868,330.92,339.751,0.712207,335.368,345.572,0.295401,311.819,348.603,0.81433,311.899,347.059,0.711307,322.085,231.065,0.743477,322.184,295.708,0.798479,342.645,354.416,0.775791,347.147,358.877,0.892702,314.772,358.89,0.856849,322.146,363.272,0.780898,0,0
75,3,320.6,159.085,0.882956,320.67,231.078,0.749429,326.524,231.089,0.671164,298.594,285.425,0.884314,310.434,338.306,0.809092,314.774,345.678,0.768118,291.266,347.102,0.759618,292.757,345.597,0.686956,311.879,231.089,0.762334,322.091,297.172,0.835788,344.112,352.947,0.779446,348.567,358.921,0.860116,311.814,360.278,0.881853,320.653,366.172,0.778708,0,0
76,3.04,311.845,159.135,0.917519,311.906,232.533,0.742827,322.097,231.083,0.70871,289.839,286.856,0.879629,291.278,345.562,0.821913,297.173,350.052,0.80245,269.247,344.134,0.726971,275.075,341.201,0.668581,307.439,232.547,0.72222,319.154,297.139,0.800306,342.681,354.408,0.780709,347.164,360.317,0.874164,311.863,360.296,0.857398,320.652,366.183,0.759136,0,0
77,3.08,304.518,160.599,0.849246,308.86,229.663,0.767104,314.768,229.665,0.72868,288.309,286.891,0.883604,275.189,344.148,0.857227,276.672,350.038,0.838475,251.662,335.407,0.795428,254.58,335.338,0.737726,298.67,231.06,0.782528,313.35,292.772,0.777499,342.654,354.446,0.768669,347.156,360.291,0.861445,311.809,360.3,0.846199,320.6,366.191,0.743541,0,0
78,3.12,298.64,163.507,0.883096,300.06,234.023,0.76563,308.912,233.991,0.695012,280.99,288.351,0.831697,263.436,342.705,0.839362,264.875,350.068,0.821283,239.901,333.878,0.766238,242.829,333.835,0.700231,292.755,234.028,0.713859,311.828,298.563,0.840857,339.767,355.856,0.780846,347.117,358.911,0.877352,311.802,360.358,0.812074,320.602,367.629,0.750346,0,0
79,3.16,289.788,164.985,0.85861,294.198,235.452,0.734342,300.122,234.018,0.737692,275.092,288.289,0.874938,256.055,344.166,0.792116,260.416,351.527,0.743579,231.102,335.338,0.762563,236.943,335.286,0.714705,286.878,235.495,0.751362,308.899,300.043,0.838112,338.285,354.448,0.794301,347.095,358.847,0.900468,311.833,361.762,0.805774,320.661,367.617,0.774399,0,0
80,3.2,285.355,167.878,0.842135,286.825,235.464,0.778354,292.738,234.033,0.684357,264.805,288.344,0.898398,253.115,345.612,0.860598,256.053,352.968,0.732321,229.572,342.673,0.753293,232.539,339.748,0.686776,276.664,235.489,0.74735,300.055,298.614,0.864885,335.413,351.48,0.801707,345.665,357.307,0.882343,311.822,361.785,0.788282,320.666,366.191,0.755478,0,0
81,3.24,276.565,167.899,0.907117,276.578,238.371,0.784552,285.413,235.496,0.711309,257.482,288.348,0.844643,251.699,345.679,0.898831,256.028,354.447,0.796502,228.06,347.171,0.806401,229.581,347.053,0.802976,269.278,238.407,0.731668,292.759,300.093,0.833695,335.283,348.553,0.849288,345.578,354.411,0.822596,310.39,361.795,0.800186,320.61,364.733,0.737671,0,0
82,3.28,267.82,167.858,0.838948,270.716,235.485,0.744267,276.647,234.03,0.739421,251.605,288.342,0.893242,251.592,345.682,0.855909,254.562,354.413,0.833202,226.628,351.507,0.787692,228.166,348.54,0.788285,263.361,236.961,0.756505,279.545,300.082,0.842305,329.491,345.675,0.831613,336.857,347.065,0.80274,310.354,361.766,0.796231,319.179,361.8,0.728246,0,0
83,3.32,263.373,166.441,0.895351,263.34,236.952,0.778415,270.744,236.937,0.698522,245.769,289.856,0.810705,251.549,347.04,0.863242,253.184,354.445,0.837436,225.22,351.518,0.806372,228.156,348.56,0.7983,253.144,238.395,0.77467,263.436,298.647,0.834071,319.172,338.256,0.787763,326.54,336.817,0.806265,304.487,361.76,0.771028,311.856,358.902,0.793561,0,0
84,3.36,254.618,164.977,0.844592,254.58,233.989,0.750641,264.791,233.988,0.752253,245.741,291.269,0.779952,250.162,345.667,0.849732,253.132,354.43,0.846617,225.197,351.523,0.787108,228.159,348.578,0.760241,248.685,234.007,0.727889,247.197,297.143,0.781934,304.518,333.883,0.799975,316.228,332.38,0.717755,298.618,360.288,0.78286,301.543,357.424,0.761798,0,0
85,3.4,251.607,162.069,0.893073,251.582,232.567,0.765106,260.429,234.007,0.691206,242.828,297.132,0.823351,250.116,347.055,0.849599,253.099,354.446,0.874038,225.171,352.955,0.791401,228.132,348.596,0.751728,241.329,232.561,0.762656,239.83,298.659,0.855507,288.405,332.408,0.821176,300.11,329.465,0.730478,286.822,357.376,0.698345,288.343,354.435,0.706899,0,0
86,3.44,242.854,160.622,0.854574,242.851,232.544,0.744265,253.093,232.551,0.751583,241.358,295.694,0.850766,248.712,345.671,0.856885,253.085,351.528,0.817513,225.192,351.513,0.806267,228.159,348.573,0.764452,236.935,232.534,0.730819,228.099,297.15,0.842195,275.179,332.42,0.833259,286.862,332.36,0.747238,264.91,355.853,0.636179,270.698,351.477,0.632707,0,0
87,3.48,239.848,160.614,0.896142,239.937,229.586,0.771872,250.167,229.598,0.719535,239.871,289.854,0.842471,250.116,345.662,0.812118,253.105,355.874,0.641547,228.084,352.99,0.803718,229.589,348.599,0.775087,231.083,229.574,0.766286,216.317,289.835,0.837988,254.567,327.984,0.768639,264.894,330.911,0.684324,250.183,348.567,0.465425,254.598,347.056,0.535102,0,0
88,3.52,231.045,159.148,0.882804,234.033,229.622,0.721848,241.376,229.581,0.718347,239.876,289.789,0.844041,251.59,345.677,0.831388,256.056,352.953,0.63002,225.19,357.349,0.290364,228.042,354.456,0.247449,228.098,231.058,0.742223,204.644,288.396,0.904699,241.326,344.164,0.800082,250.162,347.166,0.721486,220.801,357.386,0.731905,228.073,357.426,0.737164,0,0
89,3.56,228.069,159.166,0.881011,228.169,229.591,0.787706,236.906,228.133,0.693455,239.84,289.792,0.848663,250.113,345.628,0.840447,253.079,351.523,0.859208,228.184,345.657,0.134458,0,0,0,219.376,231.084,0.73511,194.409,288.351,0.909574,225.181,347.059,0.828609,231.1,350.05,0.72176,198.736,358.856,0.827339,206.055,360.342,0.882773,0,0
90,3.6,217.925,160.574,0.867036,223.749,229.64,0.727113,229.658,228.156,0.713796,236.953,289.795,0.819413,250.156,345.631,0.840729,253.153,352.973,0.794972,226.637,351.498,0.786668,229.564,348.529,0.702919,216.375,232.542,0.7287,192.809,288.355,0.893197,203.186,350.058,0.826871,209.044,357.425,0.824041,175.247,357.411,0.814238,182.561,360.3,0.893521,0,0
91,3.64,216.308,160.613,0.856187,216.422,229.64,0.774527,225.168,228.174,0.701783,232.516,289.798,0.809048,250.151,345.633,0.835537,253.152,352.984,0.794204,223.713,351.503,0.691733,228.138,348.563,0.665883,207.591,232.541,0.702624,184.084,289.836,0.836182,182.645,352.963,0.8332,191.39,358.905,0.75765,156.171,354.408,0.773266,159.15,357.395,0.864161,0,0
92,3.68,207.551,162.054,0.843734,210.539,231.113,0.715978,217.909,229.605,0.730667,229.594,289.864,0.839463,250.134,345.654,0.833499,253.151,354.406,0.793949,225.165,351.499,0.728559,228.158,348.572,0.709279,203.19,235.487,0.703679,181.185,294.223,0.857941,169.413,351.477,0.847948,172.313,358.889,0.847525,141.478,347.032,0.848851,145.879,351.493,0.85184,0,0
93,3.72,203.169,165.002,0.836282,206.048,231.08,0.787851,213.466,229.595,0.731775,226.645,289.798,0.826619,250.118,345.633,0.822314,253.166,352.974,0.802521,223.746,352.943,0.713635,228.14,348.585,0.697848,197.284,234.026,0.697671,179.611,289.803,0.808736,159.093,348.567,0.855291,160.622,358.862,0.816325,134.103,341.2,0.793093,135.572,345.675,0.87681,0,0
94,3.76,194.341,166.475,0.872837,197.271,236.955,0.729103,206.103,232.561,0.720384,219.382,291.308,0.802212,248.705,345.601,0.813193,253.171,350.07,0.809475,223.752,352.964,0.722013,228.136,348.6,0.70312,189.939,239.875,0.701006,169.39,295.713,0.856703,157.604,348.615,0.847759,159.154,358.842,0.833662,129.736,345.575,0.828223,134.093,348.556,0.846127,0,0
95,3.8,189.965,167.948,0.852818,191.418,238.374,0.767522,197.316,234.025,0.704019,216.339,292.758,0.846101,245.787,345.594,0.799161,253.12,350.006,0.795701,222.289,354.416,0.757076,228.095,350.016,0.715578,181.152,239.863,0.75347,160.559,297.1,0.829136,156.14,351.478,0.808015,159.12,358.87,0.830357,123.872,348.541,0.827688,129.746,355.878,0.794425,0,0
96,3.84,181.174,167.911,0.889098,181.199,236.941,0.783123,191.396,233.996,0.712131,206.068,291.305,0.862863,241.37,341.201,0.810663,251.578,345.634,0.84069,223.735,354.432,0.757868,228.11,350.041,0.708789,172.331,239.827,0.731265,157.581,297.159,0.850252,148.879,352.958,0.804247,157.586,358.871,0.812489,123.885,355.868,0.82247,129.725,358.79,0.843806,0,0
97,3.88,173.805,167.907,0.844205,173.805,238.383,0.729754,182.679,235.453,0.712878,195.847,294.243,0.820631,239.819,336.83,0.828946,245.741,342.69,0.781156,222.255,354.417,0.794388,226.673,350.021,0.723315,166.417,239.872,0.695446,147.397,298.605,0.895059,148.841,352.966,0.825277,157.589,358.857,0.819523,123.884,357.337,0.791922,131.185,358.872,0.831836,0,0
98,3.92,169.342,167.946,0.890711,169.339,239.887,0.759002,179.627,238.423,0.698641,184.087,295.7,0.845198,229.645,335.293,0.870425,239.898,335.383,0.80991,219.376,352.952,0.779796,225.214,348.601,0.692154,157.678,241.354,0.746648,145.9,298.674,0.890902,148.843,354.407,0.817193,157.604,358.866,0.815907,123.875,357.368,0.796773,131.176,358.899,0.806921,0,0
99,3.96,160.558,166.449,0.867915,160.617,238.436,0.730975,170.879,238.384,0.717977,172.297,295.676,0.852474,220.804,330.95,0.816686,229.617,330.926,0.821462,216.433,351.489,0.833931,217.915,348.566,0.755034,153.26,239.893,0.709848,142.959,298.597,0.834448,147.444,352.957,0.811926,157.574,358.848,0.812402,123.855,357.357,0.796184,129.757,358.881,0.801478,0,0
100,4,157.624,165,0.883192,157.689,238.388,0.75889,169.363,236.969,0.733143,160.584,291.324,0.814094,207.631,325.105,0.812436,217.91,325.11,0.801865,204.689,348.57,0.721885,206.169,347.09,0.66169,147.384,238.401,0.751979,140.02,298.551,0.793937,147.439,352.941,0.798018,157.58,358.833,0.802649,123.874,357.344,0.760522,131.186,358.874,0.779986,0,0
101,4.04,150.277,162.049,0.856116,153.257,234.031,0.693584,163.493,235.476,0.683199,151.753,289.837,0.808415,197.28,325.125,0.807172,206.12,327.996,0.772444,191.421,345.582,0.611096,192.925,344.132,0.542015,144.377,234.002,0.701369,137.075,298.555,0.820672,148.809,352.938,0.809667,157.6,358.793,0.844874,123.907,357.365,0.766588,132.628,358.886,0.793386,0,0
102,4.08,145.903,162.035,0.901654,147.394,234.013,0.754211,159.106,234.025,0.748734,145.823,288.389,0.873992,184.08,329.484,0.815527,192.926,332.354,0.802032,173.79,347.12,0.662287,176.748,345.61,0.566209,137.054,233.987,0.742263,135.612,295.692,0.845584,147.441,352.942,0.818139,157.573,358.784,0.814669,123.88,357.384,0.782918,131.199,358.905,0.820445,0,0
103,4.12,140.026,159.196,0.876497,145.854,231.054,0.750232,157.614,231.056,0.733695,140.029,286.929,0.834796,170.797,333.862,0.858228,176.733,335.387,0.756356,157.606,345.663,0.325502,159.1,344.099,0.249053,134.075,231.074,0.749695,134.142,291.274,0.825995,147.443,350.046,0.791483,157.57,357.357,0.826902,123.926,357.382,0.792066,132.652,358.906,0.816954,0,0
104,4.16,135.583,160.584,0.912996,140.039,231.102,0.740551,151.76,232.525,0.719103,134.136,286.852,0.828182,159.109,336.8,0.846076,167.882,342.666,0.689363,135.558,347.06,0.191416,137.053,344.14,0.154175,129.715,231.098,0.730533,132.638,289.788,0.78193,147.445,350.048,0.821392,157.572,357.32,0.870639,123.88,357.394,0.873407,131.214,360.296,0.829777,0,0
105,4.2,132.704,160.563,0.904471,135.653,231.111,0.786873,147.369,231.112,0.774359,131.192,285.411,0.722266,145.918,341.205,0.68089,154.693,345.654,0.249814,123.858,350.01,0.46236,126.78,347.129,0.392346,123.929,232.537,0.752803,125.327,288.299,0.806096,148.802,348.56,0.772882,157.618,357.349,0.786421,123.855,357.37,0.781896,131.222,358.88,0.720299,0,0
106,4.24,125.338,160.556,0.891195,134.154,229.638,0.800097,145.889,229.613,0.779709,123.879,282.497,0.771418,132.674,338.303,0.748229,135.555,345.633,0.420364,110.704,345.629,0.833496,112.196,344.121,0.685803,122.425,231.073,0.782297,123.905,286.863,0.792156,147.347,347.134,0.817428,157.577,357.359,0.791304,122.438,357.321,0.841045,129.729,358.886,0.761838,0,0
107,4.28,122.391,160.606,0.917835,131.228,231.062,0.759235,142.958,229.649,0.740826,122.353,286.85,0.816204,122.312,339.733,0.67916,122.4,347.077,0.629542,98.8831,342.705,0.723022,100.379,341.195,0.608657,120.896,231.1,0.756012,125.359,286.917,0.772948,147.413,347.14,0.743267,156.188,357.368,0.694378,126.812,358.781,0.53329,132.658,358.889,0.575406,0,0
108,4.32,117.979,160.62,0.86425,125.357,232.528,0.777832,137.076,231.114,0.776567,119.467,286.902,0.835064,110.711,342.687,0.845205,112.187,348.556,0.816636,87.1943,339.722,0.800461,90.0984,336.833,0.725026,113.639,232.564,0.737585,123.925,288.322,0.823542,148.825,348.58,0.803122,157.633,357.408,0.803891,125.358,357.401,0.760944,132.665,358.87,0.733469,0,0
109,4.36,112.175,162.052,0.879307,123.806,232.52,0.793886,134.206,231.071,0.794121,112.167,286.926,0.873488,109.203,344.121,0.839021,112.063,348.623,0.833486,85.6452,339.763,0.772395,88.5577,336.861,0.748171,112.075,233.995,0.774403,123.87,288.408,0.841549,148.805,348.609,0.808556,157.633,357.415,0.832733,125.318,357.407,0.76181,132.639,358.889,0.718681,0,0
110,4.4,110.676,163.529,0.887729,120.929,232.57,0.757116,132.644,231.082,0.745026,112.07,288.311,0.857604,107.686,345.574,0.791103,110.614,351.486,0.765538,84.1871,344.17,0.728612,87.1191,342.696,0.682985,110.582,236.914,0.752205,120.919,289.787,0.768697,147.398,348.569,0.782188,157.589,357.378,0.758597,123.93,357.429,0.722984,131.177,358.867,0.706348,0,0
111,4.44,109.148,165,0.851821,115.033,234.033,0.742023,125.347,233.994,0.748078,109.139,288.361,0.82534,103.342,345.569,0.81686,110.609,350.022,0.819973,81.2687,347.075,0.801565,87.0825,345.62,0.764174,104.775,236.915,0.711302,119.439,292.727,0.759609,147.396,348.57,0.823076,157.609,357.343,0.839025,125.331,358.797,0.750956,134.082,360.283,0.732173,0,0
112,4.48,101.848,163.507,0.855033,112.075,232.549,0.78473,122.446,231.08,0.788039,104.767,288.392,0.801831,103.288,345.57,0.83399,110.583,350.003,0.83286,79.826,348.56,0.773393,85.6862,347.074,0.740552,100.371,235.469,0.754307,112.155,291.278,0.802171,147.307,347.129,0.837841,156.193,355.887,0.790696,123.826,358.786,0.803543,131.185,358.911,0.739678,0,0
113,4.52,100.329,162.074,0.893507,110.593,234.025,0.761691,122.313,232.522,0.73405,106.211,291.274,0.800525,101.892,345.592,0.841298,109.175,350.029,0.835717,81.2876,347.128,0.779709,87.109,347.029,0.735213,98.8675,236.963,0.74447,106.219,294.242,0.790228,145.88,347.115,0.869205,154.727,354.417,0.753117,122.415,358.773,0.819101,128.265,358.919,0.743376,0,0
114,4.56,98.8238,162.051,0.888292,104.762,234.032,0.724261,116.521,234.02,0.70549,103.305,294.194,0.800162,101.89,345.555,0.842329,109.183,348.606,0.841071,81.2552,347.118,0.793309,87.0864,345.675,0.743228,93.0069,235.492,0.712773,100.407,298.6,0.841647,141.469,344.132,0.808771,148.85,345.666,0.816611,122.326,358.794,0.834325,125.321,358.87,0.805211,0,0
115,4.6,94.4764,160.607,0.875794,101.819,235.463,0.756981,113.597,234.012,0.742043,104.79,292.764,0.800202,101.852,345.547,0.855508,109.149,348.585,0.821212,79.8337,347.129,0.804318,85.6977,345.676,0.756146,90.0586,236.936,0.748408,95.9405,297.161,0.812377,135.579,338.29,0.839132,145.915,342.692,0.809566,117.964,358.802,0.832431,122.414,358.824,0.882312,0,0
116,4.64,90.1041,160.588,0.90084,100.334,233.993,0.780708,112.126,232.558,0.764536,101.868,289.836,0.83927,101.858,345.543,0.842237,109.128,348.607,0.703584,81.2923,347.151,0.835443,87.0776,345.691,0.795816,87.194,234.031,0.765612,88.5549,295.668,0.840352,128.267,335.367,0.809693,138.587,338.3,0.727575,112.103,357.337,0.807486,119.424,357.33,0.787857,0,0
117,4.68,88.6003,160.572,0.9293,98.8908,231.074,0.76482,110.658,231.056,0.759773,101.825,288.417,0.829391,101.87,345.553,0.786277,106.243,351.484,0.433671,82.7347,348.551,0.841604,87.0773,347.063,0.817427,87.0715,231.101,0.752783,84.2074,294.192,0.759588,122.371,336.787,0.824855,134.089,342.648,0.753637,101.868,354.439,0.598022,110.613,355.874,0.650742,0,0
118,4.72,87.2086,159.187,0.940934,95.9824,229.597,0.729926,109.128,229.585,0.724145,100.407,286.921,0.83376,103.319,344.132,0.702483,110.672,347.055,0.200148,81.261,347.136,0.709577,85.6505,347.034,0.630601,84.1964,229.595,0.726753,79.8117,291.293,0.763837,113.606,341.224,0.752092,123.891,345.632,0.760937,88.6662,350.031,0.617422,97.4202,354.413,0.579121,0,0
119,4.76,87.0839,159.169,0.931646,94.4866,229.608,0.732857,106.225,229.583,0.731918,100.435,286.914,0.850446,110.62,341.197,0.738057,120.867,345.666,0.437279,84.1819,348.539,0.357126,87.1007,347.061,0.357803,82.7411,229.614,0.724933,76.8451,289.837,0.847811,106.249,344.14,0.768753,113.587,347.153,0.728872,82.7653,352.977,0.711985,87.1938,357.311,0.747088,0,0
120,4.8,82.7168,159.112,0.904623,90.1415,229.594,0.728249,101.862,228.164,0.73123,101.807,288.388,0.847507,109.135,345.568,0.785769,113.592,348.603,0.52396,78.326,351.492,0.224541,78.3856,348.528,0.20867,79.81,229.619,0.721739,76.8884,291.273,0.821133,100.354,347.052,0.873731,109.154,351.506,0.79005,75.411,355.882,0.824702,78.3845,357.393,0.804436,0,0
121,4.84,79.785,159.123,0.91352,88.6867,229.61,0.746201,100.416,228.175,0.749613,100.438,288.381,0.852329,109.136,345.547,0.802152,112.192,348.589,0.662648,75.3888,352.928,0.0861406,76.9342,347.109,0.0829515,78.3326,229.644,0.734015,76.9135,291.301,0.801996,97.4136,347.108,0.838375,101.858,355.85,0.787453,68.0671,355.845,0.796355,75.3882,357.41,0.846786,0,0
122,4.88,76.9484,159.163,0.921309,88.6059,231.061,0.761564,100.334,229.617,0.777316,100.401,288.361,0.875511,109.128,344.138,0.802936,112.101,348.531,0.752057,76.9122,347.141,0.0588306,0,0,0,76.8831,231.103,0.739662,76.9477,291.297,0.795061,94.4626,347.122,0.807793,100.372,354.457,0.807769,68.0768,355.89,0.772625,75.3919,358.774,0.823802,0,0
123,4.92,76.8664,159.185,0.92998,87.1801,234.01,0.747703,98.9266,232.525,0.744968,100.36,288.351,0.888943,109.119,344.122,0.796499,112.099,347.155,0.764264,78.3298,347.083,0.0563472,0,0,0,75.4151,235.492,0.726658,76.9396,291.315,0.791911,94.5038,347.115,0.812155,100.394,354.447,0.817502,69.5172,355.899,0.77201,75.4176,358.777,0.8291,0,0
124,4.96,76.8065,159.171,0.945398,87.1092,229.609,0.754211,98.84,229.575,0.749058,100.319,286.909,0.87402,107.724,344.121,0.793431,112.092,348.532,0.759641,76.8906,347.089,0.0595328,0,0,0,75.3379,229.646,0.720266,76.915,289.824,0.806098,94.4639,347.122,0.80469,100.369,355.854,0.811463,68.0669,355.907,0.76645,75.3838,358.787,0.820306,0,0
125,5,75.3963,159.155,0.947591,85.6424,229.564,0.728203,97.3726,228.153,0.711474,98.964,286.888,0.871258,107.712,344.105,0.788462,112.102,347.162,0.756701,76.8822,347.083,0.0664101,84.227,339.788,0.050386,73.8841,229.597,0.713995,76.9401,289.827,0.794325,94.4916,347.125,0.803631,100.382,355.862,0.814718,68.0675,355.904,0.775308,75.3997,358.784,0.824009,0,0
126,5.04,75.3586,159.153,0.936822,82.7571,229.573,0.72899,94.4698,228.143,0.717658,98.9247,286.828,0.851892,107.703,341.24,0.768733,112.11,347.111,0.756504,76.8917,347.074,0.0669336,0,0,0,71.0158,229.61,0.714906,78.3306,288.381,0.808091,95.9297,347.081,0.807498,100.414,354.417,0.809711,69.5144,355.896,0.762902,75.4364,358.774,0.816418,0,0
127,5.08,73.9374,159.166,0.916154,81.2678,228.132,0.743417,91.546,228.076,0.730792,98.908,286.818,0.845804,107.724,342.695,0.78018,112.135,347.155,0.749796,75.4584,348.546,0.0645259,0,0,0,71.0041,228.177,0.730036,78.3643,288.397,0.801072,94.4942,347.109,0.808795,100.393,355.853,0.809604,66.6293,355.904,0.78602,75.3761,358.791,0.820668,0,0
128,5.12,72.451,159.174,0.895063,78.3783,229.583,0.74747,90.1013,228.142,0.75591,98.8907,286.846,0.85041,107.715,342.702,0.783201,112.132,347.157,0.751057,75.4616,348.551,0.0698035,0,0,0,68.0426,229.624,0.725537,78.3176,289.799,0.804246,94.5048,347.115,0.807703,100.398,355.856,0.809073,68.0417,355.902,0.779484,75.3884,358.792,0.81494,0,0
129,5.16,68.0926,159.143,0.896035,76.9492,229.633,0.760749,88.7019,229.571,0.764884,98.8546,286.875,0.859271,107.69,344.123,0.78904,112.105,348.541,0.742127,76.8139,348.553,0.0711476,78.3697,347.064,0.052703,65.1865,231.078,0.738906,76.9266,289.823,0.809027,94.491,347.13,0.80064,100.391,355.873,0.795144,68.0408,355.919,0.782743,75.3861,358.8,0.819582,0,0
130,5.2,66.6409,159.168,0.905103,76.9401,231.08,0.757535,90.0571,229.635,0.758777,98.8683,286.9,0.85821,107.712,344.1,0.78525,112.118,347.154,0.742923,76.8643,347.126,0.0662053,0,0,0,65.1591,232.555,0.734126,76.9076,291.277,0.805188,94.5119,347.124,0.806715,100.405,355.861,0.802238,68.0513,355.916,0.777459,75.3857,358.797,0.81621,0,0
131,5.24,66.6019,159.167,0.9149,76.9169,232.55,0.748273,88.677,231.072,0.757774,98.8583,286.929,0.860627,107.714,344.104,0.788206,112.122,347.152,0.749911,75.4566,348.547,0.068188,78.4007,345.627,0.0501835,65.1393,235.474,0.732678,76.9214,292.742,0.795462,94.5057,347.133,0.807517,100.401,355.867,0.807184,66.6336,355.92,0.789236,75.3703,358.806,0.82273,0,0
132,5.28,65.1871,159.172,0.927078,76.913,234.034,0.75233,88.6831,232.522,0.753986,98.8345,288.294,0.855501,107.698,342.704,0.7822,112.116,347.14,0.746997,76.8407,347.123,0.0719643,81.2832,342.685,0.0523336,65.1222,236.964,0.745772,76.905,292.739,0.795647,94.5086,347.13,0.804811,100.397,355.861,0.800527,68.033,355.896,0.780282,75.3761,358.793,0.812734,0,0
