frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
14,0.56,737.76,162.073,0.81747,734.881,238.394,0.809208,725.976,235.498,0.778762,698.147,288.318,0.929316,687.882,345.611,0.850967,695.139,354.41,0.741486,662.893,344.102,0.736653,665.795,339.724,0.684098,746.529,239.853,0.807185,745.13,300.035,0.904351,748,355.924,0.86393,755.373,360.359,0.842094,721.539,360.28,0.88298,727.45,366.169,0.778532,0,0
15,0.6,734.814,163.54,0.840998,733.342,239.813,0.808645,721.645,236.958,0.807316,696.639,286.937,0.890082,683.419,345.569,0.824448,686.382,354.408,0.785693,654.066,339.764,0.694191,659.888,336.825,0.675783,745.053,239.868,0.771536,745.057,300.033,0.880468,747.995,355.922,0.853272,755.372,360.345,0.835118,721.53,358.915,0.880004,727.463,366.166,0.767141,0,0
16,0.64,733.26,164.958,0.816983,730.386,239.862,0.789782,720.076,238.391,0.772471,689.326,288.36,0.858288,676.041,345.574,0.866502,677.573,354.418,0.743524,651.043,338.277,0.689502,652.56,335.412,0.688255,740.657,239.929,0.738202,743.622,300.044,0.854697,748,355.915,0.855073,755.387,360.331,0.840986,721.533,360.284,0.849955,727.484,366.176,0.756452,0,0
17,0.68,726.016,167.873,0.819987,724.504,239.894,0.817981,714.24,238.433,0.778696,687.751,288.377,0.907814,673.061,345.624,0.818414,674.58,355.924,0.785395,643.734,338.282,0.6897,648.175,336.781,0.673351,734.783,241.342,0.810467,739.213,300.129,0.833757,746.636,355.91,0.855739,755.392,360.308,0.850838,721.572,360.286,0.846887,730.372,366.173,0.765795,0,0
18,0.72,723.035,167.933,0.853842,721.539,241.302,0.805558,709.855,239.849,0.795035,683.379,289.847,0.820331,667.224,347.096,0.83743,673.067,357.373,0.772408,640.794,344.144,0.732441,643.73,341.226,0.667594,731.839,241.377,0.746055,734.866,300.153,0.866564,747.992,355.89,0.844677,756.775,360.303,0.854709,721.556,360.302,0.827254,728.946,366.185,0.755254,0,0
19,0.76,718.62,169.319,0.815885,712.813,241.35,0.772824,703.981,239.894,0.756128,676.101,291.314,0.842328,664.38,348.542,0.8381,670.182,358.805,0.747376,639.346,345.664,0.753705,640.878,345.56,0.710081,723.074,242.817,0.761924,733.314,301.553,0.86297,746.604,355.881,0.851367,756.763,360.285,0.843866,721.526,360.357,0.799073,728.907,367.597,0.758583,0,0
20,0.8,711.347,169.366,0.852427,709.762,241.331,0.802808,698.087,239.892,0.805763,674.535,292.773,0.855787,664.298,351.486,0.835958,667.276,358.894,0.76484,637.842,348.588,0.732071,639.391,347.106,0.746153,718.659,241.39,0.738414,726.001,301.585,0.8222,746.587,355.844,0.86206,756.768,358.853,0.876307,721.565,361.78,0.812827,728.947,367.601,0.77153,0,0
21,0.84,706.881,169.376,0.829379,699.586,241.34,0.812382,689.318,239.903,0.789893,665.798,295.668,0.829962,664.263,351.484,0.840636,667.281,358.896,0.767687,636.396,355.899,0.750852,639.296,351.517,0.724318,709.875,241.409,0.776162,721.572,303.008,0.869626,746.521,352.964,0.858927,756.761,357.387,0.88372,721.535,361.781,0.807107,728.927,366.195,0.761248,0,0
22,0.88,699.537,169.336,0.862188,693.705,241.35,0.787898,684.872,239.908,0.803775,662.855,297.105,0.872676,662.865,352.938,0.829594,667.246,358.927,0.76881,634.961,357.366,0.78482,639.28,355.856,0.745223,702.478,242.801,0.756149,711.247,301.612,0.867902,745.081,348.572,0.873862,753.892,354.397,0.817279,720.068,361.802,0.797507,726.022,366.182,0.747086,0,0
23,0.92,693.655,167.943,0.796606,687.754,241.321,0.813056,676.146,239.878,0.799339,659.918,295.703,0.81358,662.785,351.494,0.806039,665.783,358.902,0.786217,634.928,357.36,0.770313,637.887,355.846,0.732988,698.011,241.397,0.754515,698.128,305.965,0.8591,739.212,345.633,0.83966,746.633,345.675,0.879815,720.077,360.357,0.79192,728.913,361.753,0.735312,0,0
