frame,mocap_frame,mocap_time,CLAV_x,CLAV_y,LASI_x,LASI_y,RASI_x,RASI_y,LKNE_x,LKNE_y,LANK_x,LANK_y,LHEE_x,LHEE_y,LTOE_x,LTOE_y,RKNE_x,RKNE_y,RANK_x,RANK_y,RHEE_x,RHEE_y,RTOE_x,RTOE_y,SPINEHIP_x,SPINEHIP_y
11,820,8.19,865.095093536909,170.678341234392,872.231470351247,229.746071739435,845.762684814588,225.171042339441,853.022391714419,296.621804536185,876.555519600014,342.783046048181,878.03890843028,340.294415452072,850.96447678101,357.708407194246,853.968715794457,292.362650983405,860.837453039737,347.778460972035,873.361681436704,348.744462275539,842.92862216313,351.92744790348,858.577599922364,227.378791696561
12,824,8.23,861.618704729337,170.520309671722,868.776600311786,229.166131846764,843.288865993554,225.54280605699,847.952553595705,294.827250312672,867.147411746579,343.325050132129,868.462803764662,341.267745691907,840.496421487841,356.56916119628,853.054516840929,292.569577203887,860.775125681114,347.710110513798,873.310973257781,348.584976665456,842.85386974707,352.149171439921,855.623327565734,227.290341024629
13,828,8.27,857.761934809844,170.482613343828,865.435983128323,228.73104271062,840.588732954202,226.124740043743,843.216261693822,293.749726585612,855.319936072367,346.185872890079,856.777654088533,345.071478021274,827.48003894817,356.290954226388,851.89951906189,292.964313561887,860.748297742525,347.606943105325,873.28317262223,348.391272691508,842.749322065026,352.48245239878,852.608429157984,227.380779574161
14,832,8.31,853.512024475295,170.780468907069,861.665039495139,228.652838741221,837.602874550065,226.917685567382,838.922552250633,293.621708955323,841.702906065755,349.996333766059,842.041715239227,350.854040459156,812.706378815459,355.988751246618,850.581208396586,293.505857153578,860.789780288673,347.477681351502,873.325041414528,348.18611813828,842.720866758898,352.615648076601,849.239241283925,227.75307709515
15,836,8.35,848.858389374883,171.49373127428,857.484971877983,229.152700315107,834.196777272936,228.003143707517,834.969426062578,294.606865049353,826.975312015999,353.276415682948,826.61040464721,355.531352311898,797.464676175292,354.733905904142,849.098519426777,294.111955209961,860.839579630111,347.335226715321,873.367173367793,347.982035382425,842.753614958797,352.795471892573,845.456200078952,228.55593957485
16,840,8.39,843.838208811817,172.668795677134,852.840928635087,230.409733005862,830.332996066003,229.42502750865,830.860778702645,296.373680124285,812.335262359136,354.947250170958,811.624683590439,358.237377422349,782.745109780766,352.88634579906,847.356531224161,294.792956990275,860.86467983693,347.23103683794,873.371266643188,347.740647773125,842.735601624984,352.868776014433,841.21293120982,229.898400491303
17,844,8.43,838.340907725709,174.296208579283,847.652194030801,232.286445252723,825.943576992082,231.163303166005,825.764270943256,298.319846200863,799.44287659567,355.105376821368,798.357709282184,359.266965458461,770.237295036182,349.43368620921,845.381409468258,295.586065580989,860.827403399524,347.113579342107,873.351610976099,347.474695975297,842.740554294462,352.965612472555,836.435326831265,231.703657648416
18,848,8.47,832.410245336613,176.18709413778,841.821274888003,234.388093774563,821.050397521229,233.122400350085,819.692904742467,299.999225987008,789.060184274303,355.24170201475,788.078970060639,360.064911333097,760.195471164222,346.882822596029,843.025777766084,296.48549712235,860.650751077036,346.894517352564,873.18951480242,346.97208891019,842.67898830826,353.083132067683,831.086728136419,233.731697089042
19,852,8.51,826.135775492206,178.051716183625,835.390677827892,236.320277141812,815.51791919093,235.035378766271,812.329060303109,300.945819447768,782.792147590099,356.411591644726,782.703832754542,361.013045162583,753.477910803808,348.320795289887,840.05941391229,297.434709259606,860.328354710898,346.224828104812,872.82298428118,345.862019475889,842.471058885655,353.359748783574,825.118878678484,235.65410456677
20,856,8.55,819.53397453656,179.217345447905,828.205732777492,237.61948294386,809.011888709559,236.614662178066,803.974668935466,300.796557076295,780.103506181348,357.683219762224,781.113896134547,361.421352650603,749.972014952301,352.811027017891,836.244700926385,297.978039231923,859.593930705097,344.809274468693,871.927696992733,343.607874216452,841.913733854,353.758106382258,818.282382350802,237.098299730996
21,860,8.59,812.740872790732,179.03571696762,821.107560408477,237.236940051208,801.584000078467,237.281593960297,795.784057641007,299.453003190868,778.257261142201,357.559737421489,780.516871653259,360.835353340608,747.613534908861,355.449541644475,830.588174051236,297.846639944738,857.658379659061,342.534138654167,869.535110533911,339.850460952907,840.574360742726,354.1878223541,811.011098697462,237.258940330931
22,864,8.63,806.250782641331,177.427627517615,813.307222438485,235.658593847537,794.280985736781,236.42999061905,788.994370567045,299.199736864398,776.941748112008,357.825394883273,780.193203227928,360.34640651777,746.031211477857,358.180510507092,821.96109676273,297.763168784255,853.376576870266,339.263359866365,864.091870295437,334.778629377209,838.780915842111,354.120337392911,803.464909952644,236.056966783772
23,868,8.67,799.783928970613,175.318905563929,805.397210520578,233.831750775658,787.949295117613,234.79367373617,783.686847333125,299.350180500896,776.503470810794,357.774195453898,780.130283572999,360.137385420667,745.869472255264,358.658859368519,809.409448683524,298.571300526713,845.96333557618,333.423059082572,854.98401743279,327.499018888709,836.085798361032,353.452997996926,796.3691363353,234.328986184851
24,872,8.71,793.254357443367,173.261902777658,798.281112646442,231.917160882227,782.106874013411,233.094980658712,780.320569562779,299.656992956021,776.337024636808,357.725306198082,780.087862842126,359.864625709058,745.708849088791,358.974361960905,794.739376168204,298.776419680476,835.207696448257,327.767108895329,842.693636576678,321.212204871047,830.615373861301,352.703075922783,789.910414289938,232.526376396329
25,876,8.75,786.962197331632,171.299701298464,792.023694835815,230.130027732404,776.522685091282,230.977910353037,778.176853627284,300.026449651985,776.189400351693,357.70085293855,780.042215444356,359.648096951366,745.712106370372,359.07698386262,780.456504891402,297.146142559543,823.37496317079,325.023492309717,830.615001045112,318.891756907646,818.756204042777,350.574701346624,784.000675288041,230.56839442444
