frame,elapsed_time(s),CLAV_x,CLAV_y,CLAV_z,LASI_x,LASI_y,LASI_z,RASI_x,RASI_y,RASI_z,LKNE_x,LKNE_y,LKNE_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RKNE_x,RKNE_y,RKNE_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z,spine-hip_x,spine-hip_y,spine-hip_z,,
840,8.39,-144.311,2253.55,1230.87,-36.7523,2289.25,881.587,-288.989,2306.49,850.67,-9.25729,2183.94,465.35,-20.014,2125.12,70.4065,-87.4329,2169.16,20.6964,-60.1144,1943.41,71.8197,-288.124,2499.07,400.497,-248.444,2637.65,31.6907,-198.117,2694.92,45.4714,-195.235,2466.53,12.8879,-162.87065,2297.87,866.1285,,
844,8.43,-144.087,2217.24,1219.8,-34.84,2254.38,869.647,-286.743,2275,838.919,-7.37503,2149.83,453.259,-20.2996,2036.03,70.5295,-86.345,2075.48,15.3396,-65.5795,1857.27,94.6006,-285.424,2483.18,395.62,-247.81,2636.71,32.8076,-197.646,2694.02,47.6065,-194.599,2466.22,12.4277,-160.7915,2264.69,854.283,,
848,8.47,-142.466,2177.39,1207.11,-33.0523,2215.6,856.263,-284.769,2240.38,825.633,-4.84115,2108.52,443.127,-21.1122,1965.21,70.2834,-85.0144,2003.16,11.3504,-75.9084,1792.14,109.001,-282.146,2464.18,390.162,-247.72,2634.98,34.489,-198.134,2692.47,51.1318,-194.184,2465.6,11.7382,-158.91065,2227.99,840.948,,
852,8.51,-139.077,2134.21,1194.65,-32.5102,2173.65,843.741,-283.517,2201.73,812.526,-4.74526,2059.57,437.129,-21.1646,1923.48,62.8276,-83.5695,1965.62,5.82648,-82.8207,1751.43,96.9721,-276.76,2439.22,384.954,-247.348,2631.3,39.6353,-198.559,2688.46,59.1605,-193.535,2463.91,9.99513,-158.0136,2187.69,828.1335,,
856,8.55,-133.302,2087,1186.63,-30.6019,2125.34,835.362,-281.419,2155.45,801.738,-8.72785,2005.77,437.133,-22.3871,1907.1,53.8653,-85.0653,1955.84,2.51076,-83.7924,1732.02,65.8423,-269.989,2406.62,383.04,-247.002,2623.47,50.3366,-198.859,2678.73,75.6629,-193.182,2459.97,7.28941,-156.01045,2140.395,818.55,,
860,8.59,-126.238,2037.03,1187,-26.1984,2074.79,837.896,-276.882,2100.56,797.401,-11.8552,1951.64,445.117,-25.2465,1896.09,53.746,-85.7456,1951.49,6.41457,-90.4242,1721.81,45.1297,-264.354,2360.64,385.624,-249.571,2607.53,66.4209,-201.695,2657.57,102.321,-195.505,2452.17,3.39892,-151.5402,2087.675,817.6485,,
864,8.63,-118.107,1987.79,1196.22,-22.6669,2019.56,847.657,-273.094,2046.09,803.112,-12.9569,1906.82,446.546,-24.0991,1886.68,52.5019,-84.3982,1947.92,10.4282,-93.2768,1714.92,25.1085,-258.91,2293.38,387.858,-259.157,2577.69,87.5066,-213.32,2618.45,135.612,-200.251,2442.1,2.24914,-147.88045,2032.825,825.3845,,
868,8.67,-111.952,1939.99,1208.36,-22.476,1965.96,858.396,-272.055,1999.77,813.671,-11.7718,1870.99,445.968,-23.8645,1883.5,52.988,-84.0016,1947.03,12.0623,-93.849,1714.54,21.5553,-259.696,2203.19,382.178,-275.341,2525.64,125.438,-231.772,2554.14,182.795,-207.459,2426.28,4.64167,-147.2655,1982.865,836.0335,,
872,8.71,-109.97,1894.67,1219.96,-22.0735,1917.7,869.725,-270.895,1957,824.66,-8.18772,1846.85,445.022,-23.802,1882.28,53.3641,-83.9863,1946.45,13.9868,-93.3258,1713.44,19.5759,-268.058,2102.53,378.652,-284.918,2443.92,164.457,-241.515,2461.13,225.748,-211.217,2387.07,9.32251,-146.48425,1937.35,847.1925,stride,1553.487
876,8.75,-109.962,1852.38,1230.92,-19.5395,1874.14,880.595,-268.125,1915.02,838.623,-5.06432,1831.18,443.533,-24.1547,1881.46,53.4049,-84.228,1946.06,15.4129,-93.0012,1713.38,18.9895,-278.365,2004.58,387.4,-284.968,2351.67,185.244,-237.2,2365.4,244.455,-217.356,2300.49,23.8385,-143.83225,1894.58,859.609,step,64.69
880,8.79,-110.618,1812.23,1241.75,-14.2626,1834.4,890.032,-263.633,1872.36,854.051,-3.35344,1819.51,442.059,-25.6836,1880.78,53.8044,-85.1848,1945.7,16.5607,-93.1058,1713.12,18.6945,-286.408,1908.67,404.986,-280.665,2245.77,187.676,-226.391,2263.38,240.161,-237.355,2166.09,30.3776,-138.9478,1853.38,872.0415,step(l-r),791.54
884,8.83,-111.469,1772.25,1251.3,-8.72729,1795.93,897.469,-259.143,1829.93,868.644,-3.56525,1809.76,440.535,-27.2914,1880.45,54.1576,-86.1643,1945.59,17.087,-93.6088,1713.09,18.7749,-291.572,1818.48,426.207,-276.145,2127.08,171.491,-215.921,2149.98,215.128,-255.944,2015.66,30.9672,-133.935145,1812.93,883.0565,,0
888,8.87,-111.93,1732.08,1258.35,-5.48327,1756.76,901.38,-257.108,1788.78,880.49,-3.50429,1799.1,438.532,-28.4349,1880.07,54.4343,-86.2385,1946.61,19.0036,-93.9893,1713.16,18.7929,-291.966,1736.74,446.655,-274.504,1995.97,140.24,-210.829,2024.34,173.906,-265.674,1855.04,26.3543,-131.295635,1772.77,890.935,,
892,8.91,-112.484,1689.97,1261.87,-4.05579,1717.63,902.477,-256.624,1747.83,888.045,-2.4648,1787.38,436.555,-28.9043,1879.46,55.0101,-87.1974,1944.81,20.2027,-93.6565,1713.31,18.7512,-290.111,1664.86,460.393,-273.852,1851.48,102.788,-208.572,1886.11,127.3,-271.285,1688.31,23.9286,-130.339895,1732.73,895.261,,
896,8.95,-113.388,1647.45,1260.81,-3.65072,1678.2,900.955,-256.866,1705.84,889.335,-0.155841,1774.73,434.473,-28.9869,1878.68,55.7605,-87.3205,1944.03,22.5741,-93.7592,1712.97,18.5192,-286.815,1603.35,464.262,-273.042,1696.3,69.263,-206.999,1735.82,84.2744,-274.634,1519.38,32.4548,-130.25836,1692.02,895.145,,
900,8.99,-114.687,1603.56,1255.55,-3.87603,1637.51,895.927,-257.837,1661.74,884.398,1.71284,1761.5,432.036,-29.2052,1877.68,56.5927,-87.4718,1943.31,24.9272,-93.562,1712.8,18.4033,-283.554,1549.24,455.362,-271.211,1538.23,48.7254,-205.76,1579.92,53.2949,-273.883,1357.54,54.5277,-130.856515,1649.625,890.1625,,
904,9.03,-116.522,1558.52,1246.13,-5.0222,1596.28,887.601,-259.306,1613.75,874.688,4.02493,1746.5,429.148,-29.3662,1876.43,57.7323,-87.6623,1942.41,27.8329,-93.7548,1712.85,18.2703,-280.995,1499.02,437.505,-268.422,1387.63,45.188,-204.484,1431.73,40.8561,-265.881,1212.75,90.3052,-132.1641,1605.015,881.1445,,
908,9.07,-118.967,1512.06,1233.25,-4.81141,1552.58,876.783,-260.128,1560.54,860.796,5.07896,1726.17,424.471,-29.2577,1874.6,59.3014,-87.7316,1941.41,31.7159,-93.8399,1712.75,18.0709,-281.941,1444.35,420.765,-264.913,1261.32,55.9044,-204.968,1308.69,40.8408,-247.531,1101.02,136.981,-132.469705,1556.56,868.7895,,
912,9.11,-122.426,1463.78,1220.04,-3.27709,1507.21,863.384,-258.801,1503.84,846.377,3.31198,1699.02,417.722,-29.6741,1870.91,62.6882,-87.954,1939.28,38.3219,-93.8556,1712.16,17.6234,-283.01,1381.94,411.827,-256.132,1177.09,57.3895,-200.496,1228.94,38.9988,-226.937,1029.6,154.485,-131.039045,1505.525,854.8805,,
916,9.15,-127.449,1413.76,1208.88,-3.25285,1455.48,851.972,-258.82,1442.8,838.456,-0.979197,1666.65,414.999,-29.9161,1863.42,72.3689,-88.2262,1933.42,52.6041,-93.8265,1710.35,16.9877,-277.026,1314.85,409.607,-250.964,1142.46,40.6873,-196.196,1197.42,24.8191,-210.854,986.938,123.368,-131.036425,1449.14,845.214,,
920,9.19,-135.052,1357.84,1208.66,-6.09179,1394.17,845.172,-261.653,1379.39,835.384,-6.51156,1625.19,418.326,-29.1779,1847.63,89.7808,-88.3255,1919.14,77.1703,-93.6669,1706.34,16.3373,-268.722,1255.92,411.302,-244.947,1119.87,32.9419,-190.008,1174.77,27.4634,-203.472,953.305,86.2015,-133.872395,1386.78,840.278,,
