Time,CLAV,,,LASI,,,RASI,,,LKNE,,,LANK,,,LHEE,,,LTOE,,,RKNE,,,RANK,,,RHEE,,,RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-144.659,-43.6445,1305.15,-31.2314,-57.8589,918.188,-287.806,-57.0998,908.967,1.63075,64.4737,449.8,-16.6222,111.938,62.0558,-79.6702,169.521,24.8967,-66.7085,-63.7791,26.4241,-335.373,59.6126,437.082,-325.172,92.5465,40.5668,-265.287,142.78,46.3704,-298.187,-85.9659,31.1619
0.01,-144.604,-43.4722,1305.17,-31.1656,-57.8262,918.222,-287.742,-57.0312,909.063,1.6097,64.3768,449.827,-16.6341,111.918,62.0757,-79.6868,169.522,24.92,-66.7159,-63.7529,26.4007,-335.161,59.4029,437.1,-325.169,92.5384,40.6103,-265.276,142.804,46.3764,-298.211,-86.0082,31.1156
0.02,-144.536,-43.3424,1305.21,-31.1392,-57.6851,918.215,-287.621,-56.8885,909.185,1.59994,64.2137,449.805,-16.6434,111.896,62.0975,-79.6908,169.521,24.935,-66.7236,-63.7688,26.4127,-335.178,59.1149,437.224,-325.139,92.5051,40.5788,-265.279,142.826,46.3973,-298.241,-86.0224,31.017
0.03,-144.464,-43.2065,1305.26,-31.0384,-57.5734,918.295,-287.534,-56.7493,909.309,1.55171,64.0239,449.796,-16.6581,111.89,62.1205,-79.7225,169.49,24.9227,-66.7479,-63.7582,26.4103,-334.967,58.6985,437.233,-325.143,92.5059,40.5813,-265.301,142.819,46.4115,-298.281,-86.0698,30.9638
0.04,-144.337,-42.9808,1305.33,-30.8475,-57.5424,918.444,-287.412,-56.5878,909.467,1.45363,63.7158,449.79,-16.6748,111.839,62.156,-79.7362,169.488,24.9728,-66.7557,-63.7636,26.4105,-334.753,58.1378,437.253,-325.146,92.4616,40.6015,-265.323,142.783,46.4649,-298.294,-86.0753,30.8603
0.05,-144.219,-42.7371,1305.4,-30.7259,-57.3975,918.532,-287.287,-56.4216,909.622,1.31009,63.3436,449.773,-16.7192,111.812,62.2088,-79.7494,169.482,25.0131,-66.7777,-63.799,26.4235,-334.468,57.5919,437.263,-325.123,92.4271,40.6344,-265.337,142.781,46.483,-298.317,-86.1123,30.765
0.06,-144.063,-42.4858,1305.5,-30.7263,-57.1232,918.575,-287.19,-56.2059,909.813,1.16496,62.9607,449.716,-16.7547,111.782,62.2469,-79.7795,169.46,25.034,-66.7829,-63.7948,26.423,-334.13,56.9614,437.34,-325.127,92.406,40.6732,-265.338,142.781,46.5672,-298.345,-86.176,30.6273
0.07,-143.863,-42.2201,1305.58,-30.5888,-56.9379,918.724,-287.073,-56.0271,909.995,0.970722,62.4957,449.699,-16.8087,111.752,62.3212,-79.816,169.458,25.0566,-66.8028,-63.7784,26.417,-333.669,56.2512,437.38,-325.136,92.369,40.7011,-265.344,142.782,46.6415,-298.393,-86.208,30.4696
0.08,-143.659,-41.9976,1305.71,-30.318,-56.7441,918.957,-286.883,-55.7718,910.257,0.737683,61.9726,449.677,-16.8895,111.702,62.3479,-79.8777,169.416,25.1055,-66.835,-63.7994,26.4291,-333.347,55.5878,437.522,-325.124,92.2978,40.7328,-265.364,142.726,46.7397,-298.462,-86.2425,30.2743
0.09,-143.421,-41.6987,1305.85,-30.0606,-56.4326,919.133,-286.638,-55.4475,910.528,0.533325,61.4176,449.696,-16.9655,111.66,62.4385,-79.9113,169.415,25.152,-66.8827,-63.8164,26.4284,-332.966,54.8498,437.675,-325.109,92.2642,40.7838,-265.365,142.679,46.8141,-298.528,-86.2843,30.1586
0.1,-143.163,-41.3599,1306,-29.8703,-56.1418,919.294,-286.398,-55.0772,910.843,0.362741,60.9089,449.659,-17.0325,111.615,62.5009,-79.9715,169.372,25.186,-66.8919,-63.822,26.4438,-332.574,54.0489,437.785,-325.138,92.2283,40.8322,-265.375,142.631,46.9143,-298.588,-86.3282,30.0305
0.11,-142.86,-40.9772,1306.12,-29.629,-55.803,919.493,-286.183,-54.6795,911.162,0.244641,60.3274,449.699,-17.1072,111.524,62.533,-80.0013,169.352,25.2629,-66.9054,-63.8354,26.4338,-332.056,53.2025,437.876,-325.132,92.177,40.895,-265.295,142.685,47.153,-298.625,-86.3507,29.8845
0.12,-142.526,-40.6795,1306.29,-29.4207,-55.4707,919.69,-285.949,-54.2395,911.463,0.139745,59.8498,449.682,-17.1312,111.513,62.5936,-80.0371,169.352,25.3277,-66.8995,-63.8372,26.425,-331.543,52.3507,437.948,-325.122,92.1433,40.9576,-265.301,142.662,47.2517,-298.669,-86.3904,29.7496
0.13,-142.185,-40.2862,1306.46,-29.1481,-55.0692,919.88,-285.702,-53.7147,911.738,0.0712516,59.4465,449.689,-17.1753,111.478,62.6141,-80.0968,169.339,25.3349,-66.933,-63.8501,26.4485,-331.042,51.4734,438.01,-325.121,92.0806,40.9958,-265.367,142.469,47.2014,-298.69,-86.4691,29.5774
0.14,-141.802,-39.8251,1306.54,-28.885,-54.6391,920.062,-285.391,-53.1768,911.953,0.103343,59.1743,449.701,-17.2063,111.436,62.6569,-80.0807,169.311,25.3944,-66.9458,-63.8599,26.4388,-330.401,50.4748,438.006,-325.081,92.0632,41.0859,-265.37,142.419,47.2843,-298.713,-86.5482,29.3846
0.15,-141.399,-39.3584,1306.56,-28.6081,-54.1938,920.241,-285.119,-52.6538,912.188,0.211574,58.9327,449.69,-17.1945,111.409,62.6595,-80.0831,169.312,25.3977,-66.9409,-63.8557,26.4488,-329.923,49.6052,438.089,-325.065,92.004,41.1562,-265.317,142.359,47.3729,-298.712,-86.6023,29.2155
0.16,-140.965,-38.9066,1306.58,-28.385,-53.7295,920.355,-284.818,-52.0775,912.398,0.329635,58.7099,449.668,-17.1863,111.405,62.6487,-80.0832,169.312,25.3975,-66.9407,-63.8554,26.4493,-329.323,48.6544,438.104,-325.022,91.9404,41.2305,-265.179,142.386,47.6031,-298.708,-86.648,29.038
0.17,-140.459,-38.3631,1306.59,-28.0583,-53.2348,920.456,-284.513,-51.4276,912.604,0.489129,58.4935,449.642,-17.2005,111.377,62.6302,-80.0832,169.312,25.3975,-66.9555,-63.8767,26.4376,-328.674,47.7028,438.132,-324.964,91.9023,41.3025,-265.115,142.32,47.6947,-298.669,-86.7302,28.8507
0.18,-139.956,-37.8142,1306.59,-27.7202,-52.7632,920.556,-284.226,-50.8355,912.819,0.68379,58.3622,449.601,-17.168,111.335,62.6453,-80.0832,169.312,25.3975,-66.9524,-63.9032,26.4192,-328.024,46.9292,438.151,-324.917,91.8677,41.3964,-265.058,142.265,47.8001,-298.657,-86.7906,28.6839
0.19,-139.435,-37.1435,1306.56,-27.3397,-52.3261,920.694,-283.808,-50.1657,913.01,0.891037,58.2641,449.574,-17.1906,111.332,62.5874,-80.0664,169.301,25.3921,-66.9671,-63.8826,26.4243,-327.288,46.0584,438.114,-324.881,91.8237,41.4538,-265.023,142.218,47.87,-298.641,-86.8439,28.5166
0.2,-138.944,-36.5296,1306.55,-26.918,-51.8233,920.776,-283.388,-49.6012,913.173,1.11305,58.1524,449.497,-17.1552,111.331,62.547,-80.083,169.312,25.3974,-66.9574,-63.8653,26.4255,-326.677,45.2971,438.146,-324.816,91.765,41.5106,-264.981,142.146,47.9441,-298.62,-86.861,28.3817
0.21,-138.345,-35.8267,1306.5,-26.5089,-51.2601,920.823,-282.886,-48.9738,913.296,1.35905,58.0418,449.431,-17.142,111.337,62.5224,-80.0499,169.301,25.369,-66.9522,-63.8609,26.4361,-326.029,44.6514,438.153,-324.807,91.7586,41.5612,-264.891,142.096,47.9725,-298.605,-86.9081,28.2855
0.22,-137.729,-35.1074,1306.44,-26.0547,-50.6417,920.84,-282.357,-48.3651,913.435,1.60455,57.9047,449.366,-17.106,111.342,62.4687,-80.0556,169.309,25.3247,-66.9408,-63.8557,26.4488,-325.343,44.1058,438.181,-324.788,91.7207,41.6187,-264.868,142.044,48.0132,-298.566,-86.9359,28.216
0.23,-137.1,-34.3872,1306.43,-25.354,-50.0527,920.984,-281.757,-47.7449,913.566,1.84137,57.7132,449.24,-17.0937,111.317,62.4449,-80.0039,169.34,25.2987,-66.9486,-63.8527,26.4562,-324.591,43.6014,438.153,-324.75,91.7051,41.6436,-264.833,141.991,48.0283,-298.559,-86.9471,28.1752
0.24,-136.418,-33.5863,1306.39,-24.819,-49.3294,921.04,-281.111,-47.2103,913.657,2.06936,57.4098,449.107,-17.0795,111.307,62.3806,-80.0172,169.353,25.2863,-66.9689,-63.8307,26.4622,-324.065,43.3476,438.175,-324.74,91.7069,41.6449,-264.766,141.96,48.0101,-298.584,-86.9666,28.1013
0.25,-135.631,-32.6769,1306.3,-24.0638,-48.6982,921.167,-280.381,-46.6515,913.681,2.26103,56.9187,449,-17.0796,111.307,62.3801,-80.0036,169.343,25.2837,-66.9519,-63.8306,26.4626,-323.274,43.2078,438.14,-324.719,91.7029,41.671,-264.762,141.939,47.9723,-298.586,-86.965,28.087
0.26,-134.95,-31.8554,1306.25,-23.2882,-47.9879,921.224,-279.59,-46.0892,913.746,2.352,56.2963,448.839,-17.1151,111.271,62.3548,-80.0479,169.301,25.2671,-66.9521,-63.8488,26.4471,-322.763,43.296,438.302,-324.706,91.6922,41.6913,-264.732,141.945,47.9583,-298.581,-86.944,28.0833
0.27,-134.17,-30.9351,1306.18,-22.3984,-47.2358,921.382,-278.753,-45.5315,913.801,2.5196,55.497,448.756,-17.1295,111.195,62.387,-80.0626,169.308,25.2844,-66.9932,-63.8656,26.4841,-322.159,43.3288,438.344,-324.706,91.6921,41.6913,-264.711,141.91,47.9364,-298.573,-86.9827,28.1181
0.28,-133.389,-30.0113,1306.21,-21.504,-46.4461,921.536,-277.838,-44.9637,913.953,2.51495,54.4377,448.67,-17.1702,111.106,62.4174,-80.0947,169.279,25.3109,-67.0052,-63.8335,26.4943,-321.591,43.3876,438.423,-324.706,91.6921,41.6913,-264.682,141.901,47.9529,-298.589,-86.9693,28.0728
0.29,-132.528,-29.0959,1306.26,-20.6082,-45.5979,921.703,-276.871,-44.343,914.098,2.442,53.217,448.617,-17.189,111.065,62.4737,-80.1082,169.277,25.3615,-67.0539,-63.8515,26.4776,-320.968,43.4066,438.498,-324.706,91.6921,41.6913,-264.682,141.901,47.9532,-298.606,-86.9535,28.0761
0.3,-131.64,-28.1352,1306.31,-19.6121,-44.6713,921.931,-275.943,-43.6127,914.235,2.23737,51.673,448.492,-17.247,110.916,62.5536,-80.1372,169.238,25.4192,-67.0828,-63.8632,26.5103,-320.521,43.5345,438.641,-324.711,91.6759,41.7076,-264.713,141.887,47.9231,-298.663,-86.9734,28.11
0.31,-130.644,-27.1772,1306.38,-18.6561,-43.6846,922.101,-274.829,-42.7958,914.406,1.90843,49.8134,448.39,-17.2514,110.782,62.7129,-80.145,169.208,25.4937,-67.1052,-63.8926,26.5258,-319.889,43.5699,438.654,-324.716,91.6738,41.7069,-264.712,141.91,47.9361,-298.662,-86.9785,28.1194
0.32,-129.65,-26.2345,1306.45,-17.6133,-42.633,922.323,-273.735,-41.8967,914.6,1.47094,47.5438,448.202,-17.4232,110.457,62.8974,-80.2229,169.137,25.6048,-67.154,-63.9095,26.4876,-319.281,43.6636,438.803,-324.733,91.653,41.7358,-264.741,141.908,47.9534,-298.68,-86.9815,28.0978
0.33,-128.626,-25.251,1306.42,-16.6143,-41.5183,922.482,-272.59,-40.9592,914.789,0.78102,45.0233,448.01,-17.6531,110.151,63.1235,-80.3174,169.022,25.7654,-67.2404,-63.9647,26.5259,-318.506,43.6996,438.934,-324.739,91.6436,41.7521,-264.7,141.879,47.9222,-298.67,-86.9891,28.1114
0.34,-127.553,-24.2463,1306.42,-15.4707,-40.3543,922.6,-271.393,-39.8426,914.985,-0.0944303,42.2248,447.818,-17.95,109.814,63.363,-80.5069,168.93,26.0018,-67.3786,-64.0091,26.5715,-317.707,43.6396,438.997,-324.719,91.645,41.8006,-264.695,141.878,47.9323,-298.676,-86.9861,28.1127
0.35,-126.428,-23.2066,1306.38,-14.2929,-39.124,922.65,-270.182,-38.6064,915.178,-0.964791,39.5408,447.613,-18.3658,109.433,63.5956,-80.798,168.785,26.3696,-67.5316,-64.0748,26.5889,-316.792,43.5861,439.129,-324.732,91.6397,41.8128,-264.685,141.841,47.9641,-298.695,-86.9928,28.0792
0.36,-125.349,-22.3396,1306.38,-13.0933,-37.8189,922.547,-268.984,-37.2407,915.412,-1.79132,36.9999,447.242,-18.7857,109.114,63.9017,-81.0861,168.602,26.6442,-67.6822,-64.1433,26.615,-315.885,43.646,439.281,-324.706,91.6318,41.8428,-264.667,141.801,47.9242,-298.717,-87.0029,28.0712
0.37,-124.197,-21.4191,1306.3,-11.9174,-36.5206,922.4,-267.873,-35.7282,915.646,-2.4991,34.6276,446.925,-19.1978,108.828,64.0901,-81.374,168.44,26.959,-67.8344,-64.2189,26.661,-314.901,43.5986,439.391,-324.697,91.6133,41.9007,-264.64,141.741,47.9502,-298.761,-87.0277,28.0538
0.38,-122.968,-20.4872,1306.15,-10.8495,-35.2095,922.138,-266.733,-34.0937,915.843,-3.07016,32.549,446.503,-19.5556,108.524,64.2527,-81.5845,168.286,27.1429,-68.0015,-64.2777,26.6635,-313.869,43.5506,439.543,-324.667,91.562,41.9432,-264.595,141.68,47.9537,-298.767,-87.0147,28.0541
0.39,-121.722,-19.4932,1305.92,-9.82902,-33.9375,921.856,-265.74,-32.3408,916.121,-3.43027,30.8665,446.131,-19.7607,108.277,64.3051,-81.6943,168.166,27.2437,-68.1453,-64.3014,26.6936,-313.006,43.655,439.607,-324.625,91.5432,41.9898,-264.547,141.656,47.9717,-298.767,-87.0145,28.0542
0.4,-120.506,-18.5835,1305.81,-8.87296,-32.7606,921.534,-264.759,-30.5778,916.342,-3.48122,29.5266,445.764,-19.9123,108.043,64.2673,-81.7433,168.128,27.2859,-68.2502,-64.313,26.7025,-312.014,43.7759,439.766,-324.612,91.5475,42.047,-264.479,141.604,47.9884,-298.781,-87.0106,28.0445
0.41,-119.206,-17.613,1305.56,-7.91281,-31.6965,921.246,-263.808,-28.679,916.516,-3.33587,28.5743,445.339,-19.9332,107.935,64.2295,-81.7877,168.093,27.2915,-68.3508,-64.3116,26.7363,-311.105,43.8463,439.875,-324.592,91.5401,42.0605,-264.436,141.549,47.9834,-298.814,-87.0183,28.0359
0.42,-117.898,-16.6308,1305.35,-6.96846,-30.6025,920.979,-262.845,-26.7865,916.64,-2.95092,28.0943,445.004,-19.9536,107.847,64.0976,-81.8005,168.083,27.2869,-68.3719,-64.2884,26.743,-310.244,43.9177,439.966,-324.552,91.5239,42.0931,-264.374,141.536,47.9842,-298.817,-87.0414,28.0265
0.43,-116.66,-15.5789,1305.22,-6.05365,-29.5051,920.778,-261.889,-24.8438,916.747,-2.39057,28.0145,444.769,-19.9217,107.766,63.9914,-81.7712,168.095,27.253,-68.3814,-64.273,26.7511,-309.419,44.0059,439.985,-324.528,91.5174,42.1459,-264.292,141.527,48.0087,-298.848,-87.0366,28.0342
0.44,-115.243,-14.4784,1305.05,-5.20386,-28.355,920.618,-260.92,-22.8573,916.836,-1.74918,28.3063,444.646,-19.9269,107.739,63.8596,-81.7669,168.095,27.2377,-68.3978,-64.2644,26.7575,-308.581,44.1871,440.051,-324.53,91.5253,42.192,-264.281,141.547,48.0143,-298.884,-87.0315,28.0246
0.45,-113.881,-13.3423,1304.93,-4.23138,-27.2315,920.663,-259.852,-20.8977,916.899,-0.910837,28.6499,444.64,-19.8335,107.716,63.7547,-81.7472,168.096,27.2381,-68.3838,-64.2387,26.7579,-307.744,44.196,440.117,-324.529,91.5165,42.235,-264.274,141.573,48.1,-298.919,-87.0556,28.0388
0.46,-112.538,-12.1626,1304.87,-3.26552,-26.0193,920.686,-258.851,-18.8415,916.974,-0.000781336,28.9712,444.706,-19.7572,107.715,63.632,-81.7329,168.066,27.2267,-68.3502,-64.2538,26.7759,-306.923,44.3883,440.2,-324.522,91.5014,42.262,-264.317,141.507,47.9865,-298.96,-87.0188,28.0854
0.47,-111.194,-11.0419,1304.95,-2.24181,-24.6856,920.815,-257.797,-16.7299,917.101,0.971303,29.3817,444.732,-19.7392,107.702,63.5099,-81.7196,168.067,27.1761,-68.3186,-64.2496,26.7802,-306.173,44.6771,440.296,-324.529,91.5153,42.3237,-264.307,141.52,48.0131,-298.984,-87.024,28.0807
0.48,-109.87,-9.89281,1305.03,-1.26103,-23.336,920.896,-256.733,-14.6248,917.155,1.89408,29.8334,444.725,-19.6705,107.702,63.3842,-81.7037,168.098,27.1726,-68.2831,-64.2542,26.765,-305.417,44.9595,440.44,-324.513,91.4932,42.4205,-264.302,141.537,48.0828,-299.025,-87.0648,28.0506
0.49,-108.535,-8.71255,1305.01,-0.298459,-21.9085,920.918,-255.659,-12.3438,917.222,2.94426,30.1992,444.777,-19.6089,107.734,63.2741,-81.6909,168.108,27.1774,-68.2481,-64.2278,26.7301,-304.595,45.197,440.636,-324.502,91.4834,42.5049,-264.201,141.639,48.2814,-299.04,-87.0871,28.0588
0.5,-107.11,-7.6443,1305.1,0.823076,-20.4644,920.984,-254.685,-9.9421,917.345,3.95955,30.4485,444.716,-19.5125,107.735,63.1677,-81.6571,168.099,27.1752,-68.1867,-64.275,26.7228,-303.583,45.4293,440.833,-324.476,91.4222,42.6259,-264.148,141.63,48.3754,-299.04,-87.0871,28.0589
0.51,-105.75,-6.5574,1305.18,1.80081,-18.9532,920.96,-253.596,-7.37347,917.359,5.02952,30.776,444.729,-19.4382,107.782,63.0291,-81.6404,168.099,27.1519,-68.1162,-64.2376,26.6816,-302.726,45.7038,441.099,-324.396,91.384,42.7979,-264.148,141.641,48.4964,-299.035,-87.1209,28.06
0.52,-104.438,-5.45965,1305.27,2.71544,-17.2586,920.764,-252.549,-4.69718,917.365,6.02202,31.0809,444.676,-19.3547,107.805,62.8614,-81.6262,168.069,27.1402,-68.0409,-64.262,26.6486,-301.863,45.8777,441.377,-324.321,91.3454,42.9902,-264.119,141.685,48.6349,-299.044,-87.1595,28.0116
0.53,-103.072,-4.37583,1305.25,3.72482,-15.6258,920.597,-251.559,-1.98111,917.325,6.85859,31.3705,444.639,-19.2298,107.812,62.7447,-81.619,168.042,27.1611,-67.966,-64.2956,26.6001,-301.013,45.9541,441.618,-324.309,91.339,43.1456,-264.186,141.714,48.6761,-299.046,-87.1896,27.9525
0.54,-101.696,-3.28148,1305.15,4.65552,-13.8984,920.385,-250.604,0.966755,917.239,7.68853,31.6735,444.712,-19.1818,107.761,62.6358,-81.5909,168,27.1623,-67.9202,-64.2759,26.5795,-300.274,45.807,441.971,-324.322,91.4144,43.2733,-264.294,141.812,48.689,-299.076,-87.1483,28.0532
0.55,-100.282,-2.20524,1305.01,5.48532,-12.1884,920.095,-249.524,4.10177,917.033,8.45404,31.9806,444.662,-19.1165,107.729,62.5276,-81.5709,168.001,27.1625,-67.8993,-64.2958,26.5714,-299.324,45.3717,442.081,-324.401,91.589,43.385,-264.384,142.072,48.6979,-299.031,-87.052,28.3899
0.56,-99.0176,-1.08767,1304.84,6.27274,-10.3976,919.822,-248.429,7.68885,916.818,9.05328,32.3664,444.551,-19.0903,107.707,62.4008,-81.5708,168.001,27.1626,-67.8769,-64.3144,26.5775,-298.619,44.8702,442.399,-324.497,91.8861,43.4951,-264.456,142.493,48.7202,-299.106,-86.7459,28.8413
0.57,-97.6829,0.172435,1304.44,7.01102,-8.55534,919.544,-247.719,10.7356,916.522,9.67254,32.8205,444.485,-19.0871,107.716,62.2363,-81.5826,167.973,27.1357,-67.8671,-64.3107,26.5611,-297.894,44.215,442.657,-324.559,92.3122,43.6265,-264.56,142.958,48.7063,-299.155,-86.4042,29.3995
0.58,-96.3806,1.35992,1304.07,7.69158,-6.71976,919.242,-246.825,14.3839,916.233,10.1793,33.3792,444.383,-19.0564,107.684,62.1426,-81.6217,167.968,27.1019,-67.8974,-64.2721,26.5549,-296.928,43.6064,442.732,-324.55,93.0077,43.8195,-264.605,143.603,48.7852,-299.12,-85.8539,30.0563
0.59,-95.1373,2.71804,1303.69,8.35341,-4.82637,918.989,-246.297,17.752,916.039,10.7175,34.1247,444.232,-19.0542,107.67,61.9965,-81.6032,167.934,27.0315,-67.9085,-64.2824,26.5704,-296.199,43.1712,443.067,-324.393,94.1462,44.2111,-264.486,144.898,48.9863,-298.908,-84.7533,30.9127
0.6,-93.845,4.21863,1303.12,8.92627,-2.90014,918.809,-245.896,20.8342,915.795,11.1772,34.7651,444.123,-19.0464,107.676,61.8712,-81.6061,167.936,27.0035,-67.9201,-64.2733,26.5619,-295.125,42.57,443.358,-324.055,96.019,44.8086,-264.26,146.56,49.1848,-298.481,-83.1185,32.1818
0.61,-92.7448,5.84147,1302.67,9.49655,-0.901611,918.714,-245.13,24.3381,915.578,11.5313,35.3857,444.034,-18.9909,107.671,61.8054,-81.5845,167.938,26.9327,-67.934,-64.2819,26.5599,-294.234,42.1521,443.926,-323.554,98.6631,45.6869,-263.938,149.192,50.0817,-298.225,-80.5259,33.8253
0.62,-91.5981,7.60983,1302.16,10.0093,1.16271,918.687,-244.491,27.328,915.362,11.8064,35.993,443.962,-18.9675,107.653,61.7086,-81.5842,167.937,26.9321,-67.9626,-64.2996,26.593,-292.969,41.8195,444.516,-322.67,102.369,46.7786,-262.813,152.773,51.1531,-298.068,-76.8877,35.5204
0.63,-90.4177,9.63706,1301.66,10.558,3.25303,918.792,-243.576,30.4282,915.279,12.1204,36.5528,443.931,-18.9153,107.652,61.6406,-81.5466,167.976,26.9132,-67.9625,-64.2922,26.5842,-291.81,41.581,445.328,-321.441,107.295,48.2114,-261.195,157.381,52.8282,-298.058,-72.1517,37.145
0.64,-89.371,11.8077,1301.32,11.1161,5.35842,918.878,-242.694,33.3155,915.305,12.3458,37.1274,443.877,-18.8501,107.618,61.5806,-81.5226,167.978,26.8989,-68.0071,-64.3729,26.5917,-290.535,41.6239,445.984,-319.851,113.384,49.9621,-259.387,162.982,54.7989,-297.776,-66.0882,38.1475
0.65,-88.2765,14.1133,1300.97,11.7756,7.52177,919.028,-242.015,35.8843,915.557,12.6204,37.7047,443.934,-18.7914,107.662,61.5605,-81.4801,168,26.8697,-68.1884,-64.595,26.528,-289.211,41.7016,446.766,-318.132,120.587,52.1866,-257.141,169.676,57.4559,-297.47,-58.9405,38.4608
0.66,-87.2561,16.7356,1300.6,12.4396,9.75213,919.188,-241.512,37.9641,915.99,12.887,38.425,443.939,-18.7116,107.726,61.5216,-81.4199,167.981,26.8274,-67.9762,-64.3284,26.5176,-287.707,41.9425,447.393,-316.006,128.817,54.7676,-254.648,177.363,60.7885,-297.011,-50.6898,38.1007
0.67,-86.2825,19.3301,1300.34,13.0828,11.9037,919.283,-240.912,40.2049,916.243,13.2163,39.2656,443.956,-18.5997,107.78,61.4707,-81.3744,168.022,26.7901,-67.884,-64.3319,26.4898,-286.289,42.367,448.252,-313.639,138.068,57.6349,-251.714,185.897,64.5389,-296.522,-41.2669,37.8217
0.68,-85.3542,22.1216,1300.15,13.7833,14.0323,919.392,-240.266,42.3824,916.305,13.6159,40.1705,444.027,-18.4934,107.88,61.3755,-81.2081,168.222,26.9469,-67.8011,-64.3207,26.4559,-284.781,42.7938,449.134,-311.034,148.118,60.9422,-248.688,195.199,68.8298,-295.606,-30.9606,37.4127
0.69,-84.5984,24.9197,1299.97,14.5161,16.1423,919.587,-239.662,44.4909,916.335,14.2106,41.2124,444.119,-18.3148,107.984,61.2462,-81.2097,168.38,26.9138,-67.4722,-64.1711,26.3789,-283.173,43.3214,449.907,-308.214,158.878,64.6214,-245.452,205.175,73.7209,-294.222,-19.7364,36.8856
0.7,-83.6643,27.8301,1299.9,15.0682,18.3496,919.671,-239.069,46.5044,916.296,14.7009,42.4683,444.098,-18.0829,108.144,61.1459,-81.0734,168.386,26.7776,-67.364,-64.2004,26.2601,-281.758,44.0272,450.627,-305.222,170.154,68.7602,-242.182,215.748,79.1659,-292.482,-7.71978,36.1644
0.71,-82.8633,30.7628,1299.88,15.7252,20.4327,919.823,-238.561,48.4813,916.184,15.4704,43.7788,444.253,-17.7727,108.287,61.011,-80.8742,168.351,26.6271,-67.1376,-64.2336,26.1353,-280.302,44.8467,451.275,-302.084,181.899,73.2302,-238.763,226.751,85.1157,-290.404,4.91286,35.3628
0.72,-82.1174,33.6845,1299.87,16.2745,22.6623,919.994,-238.005,50.404,915.99,16.3374,45.3596,444.384,-17.4764,108.455,60.9122,-80.7287,168.421,26.5945,-66.9038,-64.2564,26.0101,-278.815,45.8986,451.905,-298.981,194.134,78.0336,-235.244,238.205,91.7261,-288.248,18.5372,34.5398
0.73,-81.3427,36.646,1299.97,16.7736,24.9035,920.155,-237.549,52.3417,915.768,17.2735,46.9866,444.569,-17.1689,108.625,60.8178,-80.4414,169.227,26.975,-66.7231,-64.2668,25.9385,-277.486,47.1611,452.442,-295.58,206.339,83.0529,-231.867,249.648,98.3884,-285.374,32.0823,33.7726
0.74,-80.6055,39.5068,1300.22,17.2552,27.1242,920.377,-237.168,54.2422,915.499,18.0836,48.8351,444.662,-16.9009,108.767,60.7125,-80.5206,168.174,26.2115,-66.577,-64.2647,25.8604,-276.194,48.7438,452.919,-292.385,219.018,88.4265,-228.555,261.339,105.544,-282.377,46.2754,33.0707
0.75,-79.9794,42.4441,1300.38,17.67,29.2915,920.559,-236.78,56.1432,915.22,18.7323,50.7122,444.808,-16.7294,108.928,60.5793,-80.4571,168.172,26.0446,-66.408,-64.2884,25.8153,-274.945,50.6067,453.259,-289.072,231.573,93.8968,-225.156,273.026,112.885,-279.214,60.8466,32.5251
0.76,-79.2525,45.3919,1300.6,18.0728,31.4854,920.705,-236.369,57.9846,914.88,19.3836,52.7427,445.039,-16.5185,109.149,60.4802,-80.303,168.27,25.9918,-66.2935,-64.2829,25.7404,-273.792,52.8594,453.544,-285.831,244.141,99.4622,-221.602,285.386,120.743,-276.001,75.6605,32.2362
0.77,-78.6335,48.4151,1300.74,18.3919,33.6455,920.93,-236.136,59.9186,914.502,19.9239,54.8627,445.224,-16.3119,109.375,60.3461,-80.1698,168.33,25.8618,-66.1386,-64.2942,25.6861,-272.641,55.4794,453.795,-282.535,256.605,105.028,-218.492,296.549,127.956,-272.698,90.6509,32.1732
0.78,-77.9569,51.4853,1300.94,18.5851,35.7498,921.119,-235.979,61.9408,914.142,20.5299,57.0321,445.486,-16.0846,109.559,60.2218,-80.0371,168.384,25.7249,-66.0239,-64.2688,25.6212,-271.567,58.4346,453.982,-279.396,269.074,110.725,-215.46,308.085,135.564,-269.391,105.689,32.3974
0.79,-77.3851,54.6065,1301.1,18.6701,37.8191,921.317,-235.82,64.0209,913.817,21.1087,59.1562,445.631,-15.8516,109.767,60.1223,-79.9349,168.444,25.6038,-65.8973,-64.2503,25.5715,-270.441,61.7584,454.047,-276.437,281.419,116.391,-212.592,319.496,143.008,-266.082,120.672,32.9345
0.8,-76.9448,57.6464,1301.42,18.6485,39.9205,921.546,-235.856,66.2687,913.478,21.7456,61.2342,445.882,-15.5814,109.984,59.9957,-79.3721,169.572,26.22,-65.7891,-64.2431,25.5045,-269.458,65.4715,454.125,-273.586,293.678,122.095,-209.873,330.783,150.254,-262.769,135.581,33.7959
