frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
14,0.5599999999999999,0.923977,0.447861,0.935115,0.888729,0.439564,0.79128,0.878011,0.436843,0.761142,0.890265,0.545887,0.798565,0.876463,0.643973,0.808708,0.852052,0.663055,0.802053,0.874881,0.649433,0.861104,0.900951,0.641133,0.875921,0.899468,0.442253,0.772626,0.862636,0.534859,0.915464,0.829039,0.662897,0.827989,0.899365,0.248783,0.914811,0.825875,0.649421,0.729301
15,0.6,0.920892,0.447861,0.898613,0.887154,0.442241,0.809022,0.87641,0.439633,0.801046,0.888738,0.543111,0.829148,0.876448,0.643976,0.793572,0.839761,0.663146,0.832107,0.873402,0.649398,0.805905,0.900954,0.638547,0.868575,0.897874,0.442287,0.763702,0.856547,0.535035,0.863433,0.815242,0.660219,0.826944,0.89024,0.24888,0.94503,0.81061,0.644075,0.778392
16,0.64,0.913319,0.447872,0.923674,0.878051,0.439647,0.775946,0.870351,0.439604,0.741725,0.887234,0.540392,0.814708,0.876496,0.643984,0.830178,0.825946,0.663078,0.821521,0.874884,0.64936,0.828921,0.900955,0.638534,0.869362,0.888759,0.442319,0.77912,0.851932,0.537769,0.882533,0.802936,0.646726,0.848859,0.887131,0.248984,0.936049,0.79986,0.641151,0.821242
17,0.68,0.910195,0.450598,0.896921,0.876425,0.445067,0.848641,0.864309,0.445024,0.811881,0.887159,0.548531,0.812902,0.876502,0.643972,0.812149,0.815167,0.663072,0.820775,0.874884,0.646755,0.821644,0.900946,0.638557,0.862286,0.887143,0.445117,0.807692,0.845873,0.545823,0.804128,0.790733,0.644015,0.842902,0.878027,0.251752,0.902322,0.787655,0.63847,0.798607
18,0.7200000000000001,0.901069,0.461343,0.8956,0.867327,0.447731,0.794511,0.861114,0.447717,0.784324,0.882611,0.553923,0.802646,0.876471,0.644022,0.79165,0.807564,0.665675,0.772945,0.873434,0.649382,0.794535,0.900907,0.638517,0.856474,0.876543,0.447817,0.790294,0.839664,0.545878,0.877456,0.784578,0.644078,0.8084,0.874937,0.257118,0.887535,0.778512,0.63847,0.821698
19,0.7600000000000001,0.897856,0.466857,0.894065,0.862642,0.450482,0.803974,0.851942,0.450462,0.79732,0.878062,0.556672,0.814748,0.876468,0.644065,0.772572,0.806051,0.665798,0.792387,0.87487,0.649448,0.78516,0.89948,0.635792,0.843957,0.871861,0.45051,0.747818,0.828988,0.548572,0.862446,0.780021,0.657609,0.816754,0.864318,0.257067,0.880985,0.776889,0.644011,0.840668
20,0.8000000000000002,0.887249,0.46684,0.942052,0.853485,0.447859,0.797294,0.844329,0.447792,0.76319,0.873415,0.548594,0.800261,0.876421,0.644087,0.752467,0.806014,0.665718,0.786987,0.873404,0.649476,0.7812,0.897915,0.624916,0.8273,0.862754,0.450509,0.780689,0.822869,0.543097,0.823676,0.778513,0.662959,0.892859,0.86263,0.257077,0.882105,0.773875,0.649461,0.801884
21,0.8400000000000002,0.876548,0.466731,0.914134,0.845835,0.447775,0.786441,0.838126,0.447725,0.792304,0.862738,0.548536,0.835258,0.874917,0.644095,0.771181,0.804552,0.665744,0.7767,0.871857,0.6521,0.790138,0.891767,0.622193,0.842882,0.853494,0.447893,0.772189,0.813753,0.540418,0.902125,0.778476,0.665756,0.884888,0.85201,0.254312,0.92175,0.772357,0.660303,0.812481
22,0.8800000000000002,0.865764,0.464179,0.880239,0.838231,0.447862,0.822622,0.829003,0.44771,0.782369,0.848888,0.551246,0.849389,0.873425,0.646699,0.797784,0.804553,0.665758,0.790199,0.87186,0.654835,0.868138,0.885692,0.619302,0.886602,0.847363,0.450566,0.740264,0.810591,0.543123,0.812925,0.778472,0.665825,0.8932,0.845843,0.251552,0.895425,0.772355,0.662917,0.841941
23,0.9200000000000003,0.855015,0.464014,0.842539,0.829051,0.442284,0.768518,0.824418,0.439537,0.730523,0.832046,0.551273,0.849234,0.8658,0.646625,0.78362,0.806022,0.665732,0.790492,0.86575,0.652154,0.83755,0.874869,0.603043,0.893116,0.838224,0.445005,0.799902,0.806048,0.543172,0.820155,0.778496,0.665825,0.865448,0.839692,0.248873,0.975657,0.773837,0.662914,0.822727
