frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
16,0.64,876.584,247.389,0.935535,837.564,232.423,0.860502,831.479,232.364,0.903442,852.675,292.529,0.866622,843.621,349.784,0.708887,783.366,358.786,0.834615,834.633,352.876,0.757519,864.76,343.716,0.836416,852.487,235.345,0.882753,810.637,295.599,0.890916,759.412,349.834,0.833395,843.635,133.073,0.889294,759.201,346.685,0.807598
17,0.68,867.701,250.301,0.911857,831.688,244.338,0.877113,828.61,241.42,0.873166,849.701,292.589,0.845453,846.576,349.785,0.730945,780.244,355.858,0.820956,837.586,352.887,0.759032,864.714,340.772,0.822421,840.674,244.422,0.829454,807.454,298.451,0.925164,756.328,349.92,0.830722,831.751,136.067,0.888977,753.323,346.764,0.80988
18,0.7200000000000001,855.761,250.451,0.976543,828.535,247.301,0.90675,822.468,244.398,0.809334,843.631,295.578,0.833912,843.622,349.781,0.692481,777.38,355.85,0.843289,834.622,352.892,0.729613,861.737,343.692,0.826353,831.657,247.374,0.915436,798.521,295.649,0.900166,756.236,352.888,0.825102,831.499,136.054,0.930695,750.312,349.702,0.800022
19,0.7600000000000001,852.514,250.499,0.958262,822.507,241.376,0.826584,807.657,235.458,0.849153,834.558,295.563,0.874023,840.616,349.835,0.720885,777.354,358.789,0.839261,834.606,355.84,0.748823,858.714,340.744,0.84493,828.604,244.328,0.89779,786.528,295.608,0.891141,756.251,355.82,0.799109,825.611,135.982,0.893123,750.241,349.815,0.757191
20,0.8000000000000002,840.677,250.523,0.924632,810.479,241.443,0.847312,807.375,241.413,0.867086,828.689,295.57,0.920738,840.596,349.843,0.743946,777.372,355.793,0.850755,834.591,355.805,0.781395,855.72,340.692,0.880221,819.592,244.397,0.824428,783.332,295.575,0.941722,756.249,358.857,0.786051,813.522,133.073,0.903201,747.222,352.766,0.717814
21,0.8400000000000002,831.551,250.4,0.982308,804.539,244.351,0.88703,801.413,241.402,0.811411,813.529,298.542,0.89823,834.544,349.905,0.76762,777.349,355.853,0.831951,831.534,355.873,0.836167,852.568,331.767,0.893962,807.616,244.445,0.874015,780.242,295.563,0.924057,753.274,358.828,0.740967,807.585,133.044,0.959499,741.305,352.8,0.694085
22,0.8800000000000002,825.544,250.36,0.923024,801.371,235.414,0.835319,786.444,235.334,0.844023,804.32,298.587,0.930522,831.609,349.914,0.813746,774.399,355.9,0.786939,831.531,355.842,0.872699,840.572,325.78,0.895467,804.595,238.364,0.89965,777.387,298.494,0.91319,747.209,358.822,0.723593,804.528,132.93,0.97203,738.229,349.975,0.720836
23,0.9200000000000003,807.628,247.4,0.944058,786.501,235.339,0.842791,783.308,232.386,0.923771,783.479,298.527,0.921237,825.604,349.728,0.734912,774.423,355.815,0.751143,825.553,352.793,0.796829,828.471,322.711,0.958447,801.37,238.336,0.831126,774.396,298.447,0.871175,747.305,358.823,0.734328,801.457,132.967,0.913771,738.226,349.933,0.767701
24,0.9600000000000003,804.448,241.451,0.907853,783.482,232.317,0.913398,780.301,229.442,0.941327,771.364,295.58,0.861942,804.423,346.671,0.627794,777.402,355.801,0.72868,801.516,349.703,0.682202,807.57,322.741,0.92569,795.461,232.447,0.851994,777.327,298.439,0.889879,753.247,358.833,0.714629,789.462,130.097,0.883404,741.297,349.925,0.731249
25,1.0000000000000002,786.385,238.425,0.869606,780.521,229.451,0.931072,774.385,229.391,0.895708,756.432,292.568,0.903705,780.396,337.719,0.236145,780.253,352.789,0.883198,777.332,346.671,0.283473,795.453,325.722,0.87393,789.413,232.304,0.869112,768.334,295.552,0.84648,753.306,355.877,0.888639,783.541,129.951,0.952038,741.21,349.973,0.903026
26,1.0400000000000003,780.262,241.434,0.902095,780.241,229.471,0.890724,765.327,229.372,0.875754,750.311,289.506,0.816157,756.264,337.764,0.332121,777.451,349.935,0.842561,753.326,343.823,0.347223,780.271,325.672,0.871992,783.461,232.347,0.911582,759.418,292.527,0.843319,756.219,358.815,0.881812,780.371,129.831,0.93559,741.319,352.855,0.873612
27,1.0800000000000003,762.446,238.415,0.877595,771.34,229.361,0.828461,768.31,229.246,0.811819,762.328,292.629,0.854836,735.381,349.721,0.36486,765.405,349.87,0.84012,735.171,349.795,0.44518,765.381,349.683,0.827522,774.37,229.469,0.853247,735.339,280.62,0.875225,738.346,352.808,0.811103,774.412,129.827,0.850869,735.151,349.791,0.870358
