frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
14,0.5599999999999999,0.922677,0.442663,0.90318,0.890756,0.429906,0.949031,0.887007,0.429881,0.904497,0.894036,0.530753,0.935859,0.894072,0.638187,0.595951,0.862361,0.65083,0.873764,0.890471,0.650672,0.609385,0.904732,0.63158,0.873064,0.897809,0.430038,0.896322,0.862316,0.52485,0.991188,0.84099,0.669486,0.734415,0.89761,0.234575,0.870506,0.833986,0.650818,0.696594
15,0.6,0.91906,0.448846,0.906079,0.890486,0.436334,0.897549,0.879931,0.436263,0.834492,0.894057,0.537176,0.896025,0.890482,0.644605,0.729843,0.840937,0.66952,0.827618,0.883444,0.663509,0.758283,0.908336,0.631755,0.873454,0.89419,0.436484,0.905813,0.862127,0.531036,0.969785,0.826735,0.663492,0.648705,0.890699,0.234557,0.911737,0.816174,0.644479,0.583433
16,0.64,0.918736,0.455248,0.870617,0.883545,0.436382,0.856704,0.869365,0.436211,0.864637,0.890688,0.537283,0.883363,0.886932,0.644627,0.694845,0.833833,0.669644,0.864886,0.87284,0.669581,0.771714,0.90481,0.631733,0.885453,0.890676,0.442493,0.922144,0.858699,0.537166,0.908479,0.805622,0.650777,0.749542,0.887098,0.240784,0.849014,0.805391,0.631941,0.744839
17,0.68,0.915362,0.461344,0.895053,0.876486,0.436326,0.851484,0.865884,0.436165,0.8979,0.89043,0.537304,0.865806,0.883542,0.644649,0.636734,0.816182,0.669681,0.851156,0.872833,0.669519,0.711929,0.904796,0.631782,0.885668,0.890521,0.442472,0.906707,0.855111,0.531282,0.887502,0.79488,0.644593,0.770275,0.879882,0.253205,0.801234,0.787802,0.631916,0.77958
18,0.7200000000000001,0.90827,0.461574,0.875548,0.869385,0.442658,0.851378,0.865687,0.44263,0.891785,0.886909,0.537193,0.86824,0.883471,0.644409,0.638882,0.812597,0.669686,0.870237,0.869379,0.663351,0.702459,0.901208,0.631729,0.899699,0.886901,0.448843,0.845462,0.841072,0.53741,0.882989,0.791247,0.657061,0.767316,0.869332,0.259601,0.83562,0.784187,0.632176,0.781686
19,0.7600000000000001,0.894192,0.461614,0.906575,0.865764,0.448973,0.871571,0.862165,0.448929,0.860877,0.872916,0.531237,0.874448,0.883521,0.644445,0.660111,0.80912,0.66966,0.863647,0.872846,0.66328,0.719475,0.897838,0.625841,0.885926,0.872912,0.455226,0.819315,0.834006,0.537245,0.917453,0.784291,0.663504,0.742067,0.865763,0.265684,0.904043,0.78066,0.638344,0.71123
20,0.8000000000000002,0.890399,0.467572,0.865555,0.858736,0.455206,0.856366,0.844584,0.448973,0.796645,0.869444,0.537467,0.843109,0.879919,0.650819,0.721605,0.809047,0.669759,0.867313,0.869331,0.669668,0.824875,0.89765,0.625831,0.893975,0.865613,0.455299,0.904923,0.830204,0.537416,0.863164,0.784255,0.669713,0.765928,0.862241,0.253387,0.883226,0.780638,0.644606,0.698166
21,0.8400000000000002,0.879966,0.467755,0.870844,0.844518,0.442503,0.829379,0.837453,0.436409,0.880254,0.862328,0.537245,0.912003,0.872832,0.656991,0.711618,0.805639,0.669809,0.86928,0.865772,0.669735,0.817887,0.894008,0.625816,0.946272,0.858683,0.448848,0.854161,0.81622,0.537235,0.873224,0.780748,0.669817,0.772105,0.855115,0.253368,0.830463,0.77721,0.650757,0.659449
22,0.8800000000000002,0.865826,0.467667,0.908742,0.84095,0.448917,0.849888,0.837311,0.448861,0.892805,0.837531,0.537286,0.818431,0.865784,0.650813,0.411589,0.80563,0.669474,0.708598,0.862247,0.663368,0.466977,0.887061,0.619294,0.742103,0.855084,0.455157,0.837312,0.816154,0.531292,0.807089,0.784243,0.669812,0.598507,0.841013,0.246895,0.822714,0.78068,0.644617,0.563608
23,0.9200000000000003,0.862019,0.461567,0.865727,0.833843,0.448805,0.890284,0.823279,0.442634,0.816156,0.834003,0.537427,0.876099,0.865893,0.638396,0.746162,0.808878,0.663436,0.775677,0.865832,0.657038,0.798024,0.872842,0.600275,0.8393,0.837557,0.449014,0.875369,0.809035,0.537197,0.915027,0.784162,0.675684,0.755942,0.837551,0.240694,0.877881,0.780562,0.657008,0.692182
24,0.9600000000000003,0.8445,0.4616,0.862532,0.826676,0.430076,0.852747,0.812511,0.429876,0.897527,0.812666,0.531254,0.885742,0.86205,0.631834,0.643451,0.808992,0.663275,0.755075,0.855162,0.638318,0.650359,0.862084,0.5941,0.873741,0.833844,0.430286,0.903631,0.805568,0.537195,0.922767,0.784262,0.675719,0.762297,0.833865,0.234542,0.881378,0.780608,0.657032,0.725102
25,1.0000000000000002,0.837418,0.442587,0.918092,0.816166,0.430018,0.865659,0.809065,0.429773,0.933124,0.808928,0.531133,0.916631,0.837412,0.631815,0.480191,0.809071,0.663359,0.816267,0.833779,0.638251,0.52112,0.840919,0.606528,0.844067,0.830288,0.430318,0.876202,0.805485,0.53713,0.923558,0.784206,0.675798,0.798934,0.830229,0.23425,0.873,0.78051,0.657141,0.76902
26,1.0400000000000003,0.830187,0.442626,0.879237,0.809189,0.43002,0.914237,0.805444,0.42982,0.936617,0.79126,0.53105,0.880299,0.801871,0.631929,0.373054,0.809187,0.657159,0.813047,0.798323,0.638212,0.43382,0.826799,0.61275,0.823806,0.826719,0.430307,0.865684,0.805477,0.537226,0.895193,0.787815,0.675938,0.866224,0.816196,0.228321,0.887667,0.780622,0.669537,0.905663
27,1.0800000000000003,0.80906,0.436405,0.926354,0.808989,0.429844,0.944118,0.801992,0.423902,0.926477,0.780534,0.530828,0.982221,0.784198,0.631812,0.354983,0.809186,0.65068,0.816039,0.780824,0.638369,0.383053,0.809118,0.594142,0.83016,0.816211,0.430074,0.875018,0.801967,0.531171,0.905345,0.787817,0.675737,0.876659,0.809196,0.22813,0.94938,0.780618,0.663481,0.91617
28,1.1200000000000003,0.80529,0.442485,0.899195,0.805468,0.43004,0.919025,0.794912,0.429888,0.861059,0.7771,0.530715,0.92319,0.770069,0.631944,0.587249,0.80894,0.66948,0.851628,0.769942,0.638172,0.649881,0.79481,0.625503,0.827689,0.809144,0.430208,0.920526,0.798339,0.537109,0.840328,0.780741,0.675744,0.786159,0.808912,0.228266,0.959258,0.776959,0.663281,0.773717
