#frame;root_tx;root_ty;root_tz;root_rx;root_ry;root_rz;lowerback_rx;lowerback_ry;lowerback_rz;upperback_rx;upperback_ry;upperback_rz;thorax_rx;thorax_ry;thorax_rz;lowerneck_rx;lowerneck_ry;lowerneck_rz;upperneck_rx;upperneck_ry;upperneck_rz;head_rx;head_ry;head_rz;rshoulderjoint_rx;rshoulderjoint_ry;rshoulderjoint_rz;rhumerus_rx;rhumerus_ry;rhumerus_rz;rradius_rx;rradius_ry;rradius_rz;rwrist_rx;rwrist_ry;rwrist_rz;rhand_rx;rhand_ry;rhand_rz;lshoulderjoint_rx;lshoulderjoint_ry;lshoulderjoint_rz;lhumerus_rx;lhumerus_ry;lhumerus_rz;lradius_rx;lradius_ry;lradius_rz;lwrist_rx;lwrist_ry;lwrist_rz;lhand_rx;lhand_ry;lhand_rz;rfemur_rx;rfemur_ry;rfemur_rz;rtibia_rx;rtibia_ry;rtibia_rz;rfoot_rx;rfoot_ry;rfoot_rz;rtoes_rx;rtoes_ry;rtoes_rz;lfemur_rx;lfemur_ry;lfemur_rz;ltibia_rx;ltibia_ry;ltibia_rz;lfoot_rx;lfoot_ry;lfoot_rz;ltoes_rx;ltoes_ry;ltoes_rz;RANK_to_LANK_distance;height;alignment;v_lfemur_rx;v_ltibia_rx;v_lhumerus_rx;v_rfemur_rx;v_rtibia_rx;v_rhumerus_rx
10;29.223;948.103;-160.519;90.5102;-68.5993;89.119;-27.7618;-1.28028;-6.47809;-5.65997;-0.451087;1.37999;9.03383;-0.596494;5.10992;11.2027;-2.60978;-0.271984;7.27522;-3.71615;-3.52356;0.351775;-1.98232;-0.930927;1.33373;-2.21658;-42.0466;170.559;-51.3186;-171.473;34.132;-1.78111e-013;-1.27222e-013;7.01337e-014;-3.88858;-6.37579e-015;9.34664;3.67834;-17.7355;0.144489;0.257129;40.3331;169.082;76.5474;180.363;37.3567;2.03555e-013;1.59823e-013;1.51674e-013;-5.08765;1.51674e-014;18.0252;4.96982;-12.3755;-16.9609;12.5118;5.60001;2.06736e-014;-1.11319e-014;-4.57205e-015;-178.728;-54.3404;157.576;5.725e-014;3.44394e-014;-5.08889e-014;-14.8779;-8.82813;-11.7149;1.11319e-014;-7.95139e-015;-2.38542e-015;-7.14608;6.08305;10.2865;-7.55382e-014;3.34145e-014;-2.38542e-014;309.475;1579.6;0;0.0103998;-2.78299e-014;0.134995;0.0114002;-2.70347e-014;0.0380096
11;29.5935;948.256;-160.253;90.5548;-68.6596;89.1785;-27.6936;-1.26917;-6.47412;-5.64308;-0.440892;1.39447;9.01778;-0.590474;5.12727;11.1824;-2.61428;-0.277162;7.30247;-3.72223;-3.52784;0.363427;-1.98628;-0.93179;1.34999;-2.24236;-42.0608;170.491;-51.2507;-171.437;34.136;-1.33583e-013;3.49861e-014;-6.39162e-013;-3.8748;1.5461e-013;9.31298;3.69626;-17.7739;0.129196;0.230095;40.3138;169.08;76.5288;180.392;37.3599;2.25819e-013;6.04305e-014;-1.24132e-013;-5.08361;-1.89192e-013;18.0204;4.96718;-12.3503;-16.9295;12.5299;5.60176;5.24792e-014;1.90833e-014;-1.6201e-014;-178.941;-54.3316;157.724;1.36764e-013;1.9061e-013;-1.69365e-013;-14.844;-8.81068;-11.7315;5.08889e-014;3.18055e-015;7.95139e-016;-7.09827;5.99788;10.3048;-2.07332e-013;3.94525e-014;4.77083e-014;309.39;1579.75;0;0.0339003;3.9757e-014;-0.0019989;0.0313988;3.18056e-014;-0.0680084
12;30.0589;948.441;-160.026;90.6526;-68.7283;89.2933;-27.6032;-1.26088;-6.48575;-5.61578;-0.430328;1.41274;9.00228;-0.584499;5.15806;11.1546;-2.6138;-0.269115;7.29707;-3.71966;-3.52557;0.366054;-1.98458;-0.93282;1.35923;-2.25944;-42.0416;170.431;-51.1756;-171.38;34.143;3.84847e-013;1.49486e-013;-4.68608e-013;-3.8654;-2.2474e-013;9.26278;3.69357;-17.8243;0.14555;0.259426;40.2945;168.832;76.5051;180.169;37.357;-9.22361e-014;-1.70955e-013;-1.12146e-013;-5.01478;-1.70015e-013;18.0381;4.90072;-12.315;-16.9027;12.5696;5.60515;6.36111e-015;-2.8625e-014;1.59028e-015;-179.11;-54.3259;157.853;-2.22639e-014;-3.5744e-013;-7.15625e-014;-14.8031;-8.77054;-11.7433;9.54166e-015;1.90833e-014;1.66979e-014;-7.05342;5.97781;10.3212;-5.05907e-014;-1.21352e-013;-5.60573e-014;309.357;1579.9;0;0.0409002;-4.13472e-014;-0.248001;0.0268002;-4.61181e-014;-0.0599976
13;30.4554;948.505;-159.69;90.7005;-68.7952;89.3463;-27.5292;-1.25766;-6.48907;-5.6002;-0.428242;1.42271;8.98273;-0.582298;5.17161;11.1525;-2.61034;-0.270086;7.30173;-3.71537;-3.51774;0.368114;-1.98264;-0.930434;1.35372;-2.25231;-42.0186;170.413;-51.1707;-171.346;34.1512;2.29e-013;4.77083e-014;1.30698e-013;-3.84985;-1.5859e-013;9.2218;3.65301;-17.859;0.14665;0.261754;40.2601;168.784;76.499;180.119;37.3532;-2.13097e-013;-1.36764e-013;1.60851e-013;-5.07382;5.50804e-014;18.024;4.96046;-12.2837;-16.8628;12.5831;5.59294;-4.6118e-014;7.95139e-015;5.46658e-015;-179.217;-54.3034;157.949;-9.22361e-014;-1.73862e-013;1.50281e-013;-14.7559;-8.75733;-11.7755;-4.29375e-014;-7.95139e-015;-2.78299e-015;-7.03858;5.95385;10.3296;2.00971e-013;-6.83571e-014;-1.09332e-013;309.313;1580.03;0;0.0471992;-5.24792e-014;-0.0480042;0.0398998;-5.24791e-014;-0.0180054
14;30.9461;948.566;-159.359;90.7621;-68.8728;89.4067;-27.4331;-1.25453;-6.50319;-5.58571;-0.423821;1.42695;8.95043;-0.578563;5.18555;11.1913;-2.61423;-0.250587;7.26172;-3.71929;-3.51925;0.348961;-1.98296;-0.933046;1.33758;-2.22621;-42.0099;170.428;-51.1;-171.36;34.159;7.95139e-014;0;-2.78929e-013;-3.85171;-1.07587e-013;9.16416;3.69604;-17.9229;0.130709;0.233333;40.2569;168.893;76.4826;180.236;37.3531;1.30403e-013;5.40694e-014;-1.17329e-013;-4.98216;-8.46044e-014;18.0344;4.87346;-12.2673;-16.8192;12.6012;5.57901;2.54444e-014;1.90833e-014;-4.17448e-015;-179.395;-54.2877;158.09;1.06549e-013;3.60397e-013;-5.56597e-014;-14.7067;-8.73998;-11.8125;1.98785e-014;-1.90833e-014;-9.14409e-015;-6.99264;5.86788;10.3363;-1.63997e-013;1.1947e-013;-5.68524e-014;309.237;1580.12;0;0.0492001;6.2816e-014;0.109009;0.0436001;7.15624e-014;0.0149994
15;31.4698;948.621;-159.047;90.8606;-68.9765;89.4938;-27.3247;-1.25153;-6.53407;-5.54113;-0.412146;1.43059;8.94516;-0.572471;5.21124;11.172;-2.6118;-0.234149;7.22475;-3.71315;-3.51241;0.340365;-1.97833;-0.933696;1.32693;-2.20907;-42.0028;170.431;-51.0507;-171.369;34.1721;4.13472e-013;2.17868e-013;1.24321e-013;-3.84242;-1.05195e-013;9.13111;3.67626;-17.9709;0.133144;0.237747;40.2499;168.706;76.4411;180.057;37.3556;-4.13472e-013;-1.87653e-013;1.31706e-014;-5.03227;2.06738e-013;18.0136;4.91981;-12.2839;-16.7556;12.6301;5.55765;-1.66979e-014;-1.59028e-014;1.2921e-014;-179.576;-54.2753;158.225;1.59028e-015;-2.37423e-013;1.20861e-013;-14.6308;-8.71115;-11.8604;-2.62396e-014;-1.27222e-014;5.56597e-015;-6.96698;5.85631;10.34;1.81192e-013;-1.10313e-013;-5.92378e-014;309.23;1580.18;0;0.0759001;-4.61181e-014;-0.187012;0.0636005;-4.21423e-014;0.00300598
16;32.0444;948.637;-158.758;90.8888;-69.0663;89.5328;-27.2085;-1.25004;-6.54998;-5.51742;-0.40916;1.43305;8.91332;-0.569197;5.2236;11.1816;-2.61585;-0.203652;7.18472;-3.71502;-3.50714;0.325789;-1.97729;-0.936499;1.33331;-2.22092;-41.989;170.365;-51.0979;-171.327;34.1855;3.11694e-013;2.91021e-013;-2.94865e-013;-3.84424;1.27509e-013;9.13166;3.62894;-17.9792;0.130675;0.233346;40.2492;168.605;76.4226;179.939;37.3589;-3.435e-013;-3.30778e-013;-2.05547e-013;-5.05174;-1.22929e-013;18.0034;4.9367;-12.2908;-16.7042;12.6416;5.56104;-6.59965e-014;-1.74931e-014;2.28602e-014;-179.815;-54.2676;158.39;-1.43125e-013;-4.59043e-013;2.62396e-013;-14.5728;-8.69981;-11.8807;-7.87187e-014;-6.36111e-015;5.56597e-015;-6.93559;5.84256;10.3427;3.8107e-013;-1.81751e-013;-1.19668e-013;309.193;1580.24;0;0.0580006;-5.24791e-014;-0.100998;0.0513992;-4.92986e-014;-0.0659943
17;32.6347;948.677;-158.374;91.137;-69.1532;89.7195;-27.1214;-1.24084;-6.62713;-5.48401;-0.375035;1.41742;8.90229;-0.553535;5.26203;11.2053;-2.62062;-0.178312;7.13503;-3.71878;-3.50219;0.306012;-1.97707;-0.938195;1.32662;-2.2107;-41.9782;170.345;-51.0289;-171.309;34.1982;-4.07111e-013;-3.30778e-013;4.35128e-013;-3.85042;-5.89734e-014;9.09665;3.67813;-18.0364;0.11744;0.209614;40.2606;168.587;76.3891;179.923;37.3691;3.62583e-013;3.39524e-013;2.37072e-013;-5.03692;1.14146e-013;18.0282;4.92159;-12.2768;-16.6727;12.703;5.47416;3.33958e-014;3.18055e-015;-7.95139e-015;-180.027;-54.252;158.557;8.26944e-014;2.56581e-013;-1.13705e-013;-14.5138;-8.63805;-11.9884;2.38542e-014;-4.77083e-015;-4.77083e-015;-6.90557;5.79557;10.3452;-1.5535e-013;9.11117e-014;-7.95139e-016;309.116;1580.28;0;0.059;1.02573e-013;-0.0179901;0.0314999;9.93923e-014;-0.0200043
18;33.2196;948.675;-157.995;91.2419;-69.2572;89.8278;-27.0069;-1.23289;-6.64955;-5.45227;-0.361683;1.42449;8.8788;-0.54588;5.28697;11.2028;-2.6294;-0.170248;7.10318;-3.72909;-3.49981;0.296165;-1.98106;-0.938162;1.32772;-2.21354;-41.9668;170.301;-51.0372;-171.263;34.2172;-2.8943e-013;-1.19271e-013;3.49059e-013;-3.85126;1.62575e-013;9.08658;3.66321;-18.0732;0.112237;0.200279;40.2666;168.547;76.3648;179.898;37.3802;1.04958e-013;1.09729e-013;1.18533e-013;-5.02394;6.226e-014;18.0803;4.91491;-12.2301;-16.6105;12.7377;5.46393;1.11319e-014;3.33958e-014;-5.96354e-015;-180.216;-54.236;158.701;5.40694e-014;-2.73329e-016;-2.94201e-014;-14.4401;-8.60337;-12.0258;7.15625e-015;-3.18055e-015;-2.38542e-015;-6.87142;5.79499;10.347;-4.47266e-014;4.25213e-014;1.78906e-014;309.095;1580.32;0;0.0737;-1.6698e-014;-0.0400085;0.0622005;-2.22639e-014;-0.0440063
19;33.8419;948.68;-157.533;91.3681;-69.3654;89.9469;-26.8973;-1.22945;-6.66527;-5.42172;-0.355017;1.42155;8.8573;-0.541285;5.29437;11.2468;-2.62698;-0.131026;7.06322;-3.72238;-3.5109;0.27569;-1.97563;-0.947342;1.30303;-2.17499;-41.9361;170.276;-51.0275;-171.222;34.2345;1.87653e-013;-6.36111e-015;1.70546e-013;-3.85934;-2.14378e-013;9.07483;3.68514;-18.1201;0.107746;0.19228;40.2645;168.556;76.3437;179.886;37.3944;-1.49486e-013;-9.70069e-014;2.28288e-013;-5.02757;4.07087e-014;18.1229;4.9174;-12.1846;-16.5488;12.7735;5.43643;-2.62396e-014;-1.90833e-014;6.55989e-015;-180.4;-54.2126;158.848;-6.20208e-014;-6.53753e-014;8.90555e-014;-14.3631;-8.56776;-12.0836;-2.22639e-014;-4.77083e-015;-2.38542e-015;-6.84276;5.72983;10.3473;9.03476e-014;-1.73315e-014;-6.83819e-014;309.031;1580.33;0;0.0769997;-2.94202e-014;0.00900269;0.0617008;-3.73715e-014;-0.0249939
